fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
00L1 39037379.225 340.19 34.082 2.435788630E-01 1.562888970E-04 2.264367551E-05 1.822374436E-01 1.242428373E-04 5.948112824E-01 0.000000000E+00 
00L2 39062994.893 340.05 34.096 2.440230328E-01 1.572388045E-04 2.292933279E-05 1.823933785E-01 1.257222305E-04 5.975866186E-01 0.000000000E+00 
00L3 39083995.52 340 34.101 2.447327899E-01 1.581357685E-04 2.317963269E-05 1.821133182E-01 1.272845654E-04 5.989413201E-01 0.000000000E+00 
00L4 39104996.251 339.96 34.105 2.459051580E-01 1.587207052E-04 2.334700637E-05 1.827065767E-01 1.277739400E-04 5.981773699E-01 0.000000000E+00 
00L5 39125997.011 339.93 34.108 2.463766984E-01 1.593041868E-04 2.356233665E-05 1.836643418E-01 1.282975289E-04 6.003320584E-01 0.000000000E+00 
00L6 39146987.582 339.9 34.111 2.461205365E-01 1.601677234E-04 2.368173402E-05 1.826314775E-01 1.296812047E-04 6.007456620E-01 0.000000000E+00 
00L7 39167988.813 339.9 34.111 2.472111194E-01 1.611654864E-04 2.383935383E-05 1.833556029E-01 1.300167628E-04 5.983488150E-01 0.000000000E+00 
00L8 39188989.374 339.89 34.112 2.478580771E-01 1.621979821E-04 2.412710693E-05 1.850577378E-01 1.303909130E-04 6.001457379E-01 0.000000000E+00 
00L9 39210222.638 339.89 34.112 2.482241627E-01 1.629135346E-04 2.429271451E-05 1.857634519E-01 1.307700173E-04 6.007237821E-01 0.000000000E+00 
0L10 39231221.275 339.91 34.11 2.485087748E-01 1.633796004E-04 2.433791785E-05 1.860903578E-01 1.307990239E-04 5.994374377E-01 0.000000000E+00 
0L11 39252222.332 339.9 34.111 2.485448811E-01 1.641441699E-04 2.448744814E-05 1.842725277E-01 1.329005783E-04 6.002238444E-01 0.000000000E+00 
0L12 39273421.722 339.92 34.109 2.496095524E-01 1.650256254E-04 2.483031265E-05 1.874251208E-01 1.324693291E-04 6.027949417E-01 0.000000000E+00 
0L13 39294223.734 339.92 34.109 2.494843413E-01 1.660927762E-04 2.491753784E-05 1.863862045E-01 1.336717682E-04 6.013275331E-01 0.000000000E+00 
0L14 39315879.03 339.92 34.109 2.498224450E-01 1.670144493E-04 2.510750788E-05 1.860607330E-01 1.349449183E-04 6.017527829E-01 9.154868739E-16 
0L15 39336453.232 339.92 34.109 2.501860132E-01 1.672939825E-04 2.523076583E-05 1.888548657E-01 1.336026270E-04 6.028192141E-01 0.000000000E+00 
0L16 39357225.762 339.95 34.106 2.507143058E-01 1.679788296E-04 2.541221767E-05 1.872644802E-01 1.357122333E-04 6.034049937E-01 0.000000000E+00 
