fname time Tem kT_1 Voc Isc Pm Vm Im FF rmsre 
L290 37236353.999 340.08 34.093 2.445843868E-01 1.556868946E-04 2.315251973E-05 1.830399067E-01 1.265010103E-04 6.080194565E-01 0.000000000E+00 
L291 37262334.855 339.95 34.106 2.462371183E-01 1.568956660E-04 2.362991512E-05 1.850626241E-01 1.276865208E-04 6.116425561E-01 0.000000000E+00 
L292 37283335.912 339.9 34.111 2.469309086E-01 1.576473350E-04 2.376756881E-05 1.852356745E-01 1.282845242E-04 6.105520193E-01 0.000000000E+00 
L293 37304336.463 339.86 34.115 2.469302560E-01 1.583572466E-04 2.387511212E-05 1.853656045E-01 1.288019343E-04 6.105667794E-01 0.000000000E+00 
L294 37325336.948 339.85 34.116 2.477619438E-01 1.587739233E-04 2.403059912E-05 1.852298050E-01 1.297228068E-04 6.108728486E-01 0.000000000E+00 
L295 37346568.001 339.82 34.119 2.474464098E-01 1.595533547E-04 2.408978805E-05 1.850046505E-01 1.302175194E-04 6.101630190E-01 0.000000000E+00 
L296 37367569.034 339.82 34.119 2.480778717E-01 1.603680801E-04 2.431368739E-05 1.872843723E-01 1.298325377E-04 6.111458561E-01 0.000000000E+00 
L297 37388569.388 339.81 34.12 2.490212106E-01 1.612168763E-04 2.459280820E-05 1.874431787E-01 1.311966118E-04 6.125778374E-01 0.000000000E+00 
L298 37409570.245 339.81 34.12 2.495649121E-01 1.618825764E-04 2.474224011E-05 1.860939383E-01 1.329493614E-04 6.124284880E-01 0.000000000E+00 
L299 37430571.254 339.82 34.119 2.494182170E-01 1.628574027E-04 2.481152026E-05 1.872271502E-01 1.325138938E-04 6.108262617E-01 0.000000000E+00 
L300 37451661.44 339.84 34.117 2.497866636E-01 1.634352595E-04 2.499413601E-05 1.868006758E-01 1.338012485E-04 6.122420078E-01 5.979812532E-17 
L301 37472662.462 339.88 34.113 2.503299388E-01 1.638959201E-04 2.506680205E-05 1.894601863E-01 1.323082355E-04 6.109673409E-01 0.000000000E+00 
L302 37493563.313 339.88 34.113 2.507094804E-01 1.648306717E-04 2.537607891E-05 1.871564194E-01 1.355774218E-04 6.140669604E-01 0.000000000E+00 
L303 37514565.233 339.9 34.111 2.514575023E-01 1.655791215E-04 2.547097954E-05 1.892806314E-01 1.345687271E-04 6.117521095E-01 0.000000000E+00 
L304 37535565.132 339.9 34.111 2.516469806E-01 1.664807836E-04 2.565274548E-05 1.873130128E-01 1.369484155E-04 6.123193966E-01 0.000000000E+00 
L305 37556566.099 339.92 34.109 2.514389913E-01 1.670874804E-04 2.578163913E-05 1.893803620E-01 1.361350152E-04 6.136687235E-01 0.000000000E+00 
L306 37577566.371 339.94 34.107 2.517801483E-01 1.680638447E-04 2.594138183E-05 1.908876370E-01 1.358894477E-04 6.130520184E-01 0.000000000E+00 
L307 37598337.049 339.96 34.105 2.527190908E-01 1.685560050E-04 2.618326678E-05 1.897984619E-01 1.379547548E-04 6.146693402E-01 0.000000000E+00 
L308 37619570.331 339.97 34.104 2.525723064E-01 1.688517267E-04 2.621036173E-05 1.894940608E-01 1.383172031E-04 6.145847480E-01 0.000000000E+00 
L309 37640339.268 339.99 34.102 2.535508486E-01 1.697631948E-04 2.636111059E-05 1.905769294E-01 1.383205972E-04 6.124280801E-01 0.000000000E+00 
L310 37661329.66 340 34.101 2.538248770E-01 1.703614621E-04 2.657238238E-05 1.919059724E-01 1.384578286E-04 6.145043340E-01 0.000000000E+00 
L311 37682330.275 340 34.101 2.538065950E-01 1.711310504E-04 2.675744990E-05 1.891460583E-01 1.414610186E-04 6.160458015E-01 0.000000000E+00 
L312 37703330.751 340.01 34.1 2.539744767E-01 1.718774047E-04 2.683464155E-05 1.906352318E-01 1.407603115E-04 6.147335798E-01 0.000000000E+00 
L313 37724332.019 340.02 34.099 2.547370674E-01 1.728056374E-04 2.718815202E-05 1.917685157E-01 1.417812332E-04 6.176317859E-01 0.000000000E+00 
L314 37745332.516 340.02 34.099 2.550536890E-01 1.729703549E-04 2.716221413E-05 1.914028888E-01 1.419034016E-04 6.156896923E-01 0.000000000E+00 
L315 37766335.576 340.01 34.1 2.546989194E-01 1.736505493E-04 2.733936069E-05 1.899731406E-01 1.439114208E-04 6.181374993E-01 0.000000000E+00 
L316 37787335.492 340.04 34.097 2.550440287E-01 1.743282459E-04 2.735843186E-05 1.912358873E-01 1.430582611E-04 6.153302709E-01 0.000000000E+00 
L317 37808334.589 340.03 34.098 2.555101882E-01 1.750879326E-04 2.759951180E-05 1.924491590E-01 1.434206834E-04 6.169315255E-01 0.000000000E+00 
L318 37829338.04 340.04 34.097 2.563738381E-01 1.758488586E-04 2.781302448E-05 1.927949828E-01 1.442682817E-04 6.169286783E-01 0.000000000E+00 
L319 37850382.14 340.04 34.097 2.560938916E-01 1.762967127E-04 2.795417053E-05 1.926031169E-01 1.451414302E-04 6.191604056E-01 0.000000000E+00 
L320 37871327.329 340.03 34.098 2.565556437E-01 1.768147532E-04 2.804441505E-05 1.935991959E-01 1.448600671E-04 6.182246453E-01 0.000000000E+00 
L321 37892328.03 340.03 34.098 2.571404996E-01 1.770413005E-04 2.817813194E-05 1.942696405E-01 1.450316769E-04 6.189664703E-01 0.000000000E+00 
L322 37913330.779 340.04 34.097 2.578172509E-01 1.777917162E-04 2.830185712E-05 1.941617218E-01 1.457627878E-04 6.174352766E-01 0.000000000E+00 
L323 37934329.365 340.03 34.098 2.579661053E-01 1.782113609E-04 2.847635387E-05 1.949502217E-01 1.460501502E-04 6.194216027E-01 0.000000000E+00 
L324 37955560.454 340.02 34.099 2.582588286E-01 1.789019725E-04 2.867298179E-05 1.944119234E-01 1.474910928E-04 6.205868275E-01 0.000000000E+00 
L325 37976563.394 340.04 34.097 2.576651364E-01 1.797517446E-04 2.869740454E-05 1.930813259E-01 1.486363617E-04 6.196034766E-01 0.000000000E+00 
L326 37997562.247 340.04 34.097 2.588264042E-01 1.803224865E-04 2.890073858E-05 1.938910077E-01 1.490434582E-04 6.192278425E-01 0.000000000E+00 
L327 38018562.727 340.03 34.098 2.580492804E-01 1.801576658E-04 2.885607597E-05 1.945936939E-01 1.482978375E-04 6.207001839E-01 0.000000000E+00 
L328 38039565.036 340.03 34.098 2.587318158E-01 1.809287713E-04 2.899863227E-05 1.940174242E-01 1.494687649E-04 6.194696655E-01 0.000000000E+00 
L329 38060564.908 340.03 34.098 2.590322167E-01 1.813750433E-04 2.903034154E-05 1.942677719E-01 1.494234342E-04 6.179037545E-01 0.000000000E+00 
L330 38081557.819 340.02 34.099 2.591267503E-01 1.820417064E-04 2.923117591E-05 1.961386227E-01 1.490403584E-04 6.196738081E-01 0.000000000E+00 
L331 38102917.915 340.03 34.098 2.597595377E-01 1.824287478E-04 2.944863784E-05 1.964618254E-01 1.499024434E-04 6.214417563E-01 1.736847825E-17 
L332 38123579.777 340.02 34.099 2.601607453E-01 1.832205650E-04 2.948747163E-05 1.958116491E-01 1.505680670E-04 6.186165719E-01 0.000000000E+00 
