X Y Xfit Yfit
1.1997500E+1 1.4292400E+2 1.4350812E+1 1.3692448E+2
1.3330000E+1 1.5652400E+2 1.5039302E+1 1.5068294E+2
1.4742500E+1 1.7157400E+2 1.5869542E+1 1.6580856E+2
1.6306900E+1 1.8797100E+2 1.6869821E+1 1.8243240E+2
1.8073700E+1 2.0607800E+2 1.8073700E+1 2.0069665E+2
1.9958500E+1 2.2589000E+2 1.9520833E+1 2.2075513E+2
2.2226600E+1 2.4753200E+2 2.1257856E+1 2.4277374E+2
2.4743800E+1 2.7126800E+2 2.3339307E+1 2.6693070E+2
2.7701800E+1 2.9727400E+2 2.5828544E+1 2.9341669E+2
3.0967600E+1 3.2578900E+2 2.8798586E+1 3.2243477E+2
3.4728900E+1 3.5698500E+2 3.2332798E+1 3.5420005E+2
3.8982500E+1 3.9104800E+2 3.6525280E+1 3.8893907E+2
4.3628900E+1 4.2831400E+2 4.1480842E+1 4.2688912E+2
4.9361600E+1 4.6914000E+2 4.7314334E+1 4.6829725E+2
5.5727800E+1 5.1364400E+2 5.4149192E+1 5.1341942E+2
6.3038700E+1 5.6203200E+2 6.2114991E+1 5.6251996E+2
7.1343900E+1 6.1497300E+2 7.1343900E+1 6.1587167E+2
8.1058100E+1 6.7224400E+2 8.1965992E+1 6.7375700E+2
9.2012800E+1 7.3543800E+2 9.4103661E+1 7.3647112E+2
1.0389800E+2 8.0359400E+2 1.0786547E+2 8.0432720E+2
1.1811300E+2 8.7741700E+2 1.2334011E+2 8.7766425E+2
1.3344000E+2 9.5792000E+2 1.4059164E+2 9.5685879E+2
1.5137800E+2 1.0449400E+3 1.5965677E+2 1.0423383E+3
1.7078800E+2 1.1394700E+3 1.8054568E+2 1.1345981E+3
1.9349800E+2 1.2418300E+3 2.0324706E+2 1.2342191E+3
2.1778500E+2 1.3513900E+3 2.2773796E+2 1.3418852E+3
2.4489300E+2 1.4727400E+3 2.5399804E+2 1.4583992E+3
2.7423400E+2 1.6011700E+3 2.8202774E+2 1.5846963E+3
3.0583100E+2 1.7405100E+3 3.1186876E+2 1.7218524E+3
3.4196200E+2 1.8922600E+3 3.4362564E+2 1.8710898E+3
3.7748700E+2 2.0575500E+3 3.7748700E+2 2.0337785E+3
4.1673600E+2 2.2340700E+3 4.1374584E+2 2.2114358E+3
4.6085900E+2 2.4285800E+3 4.5281857E+2 2.4057238E+3
5.0720800E+2 2.6401500E+3 4.9526340E+2 2.6184471E+3
5.5480500E+2 2.8724500E+3 5.4179905E+2 2.8515515E+3
6.1050300E+2 3.1227000E+3 5.9332509E+2 3.1071230E+3
6.7004000E+2 3.4039100E+3 6.5094542E+2 3.3873873E+3
7.3345800E+2 3.7029600E+3 7.1599626E+2 3.6947095E+3
8.1446900E+2 4.0350000E+3 7.9008010E+2 4.0315922E+3
8.9254700E+2 4.4006700E+3 8.7510651E+2 4.4006700E+3
9.8804400E+2 4.7906300E+3 9.7334091E+2 4.8046994E+3
1.0872500E+3 5.2405600E+3 1.0874621E+3 5.2465404E+3
1.2164700E+3 5.7200200E+3 1.2206282E+3 5.7291272E+3
1.3733300E+3 6.2373700E+3 1.3765521E+3 6.2554244E+3
1.5369300E+3 6.8172000E+3 1.5595841E+3 6.8283643E+3
1.7327200E+3 7.4230600E+3 1.7748010E+3 7.4507588E+3
1.9790700E+3 8.1365900E+3 2.0280978E+3 8.1251833E+3
2.2756300E+3 8.8563100E+3 2.3262767E+3 8.8538211E+3
2.6035100E+3 9.6607300E+3 2.6771251E+3 9.6382658E+3
2.9975500E+3 1.0497300E+4 3.0894716E+3 1.0479275E+4
3.4773800E+3 1.1394000E+4 3.5732013E+3 1.1376462E+4
4.0527500E+3 1.2380800E+4 4.1392127E+3 1.2327943E+4
4.6895200E+3 1.3361800E+4 4.7992891E+3 1.3329924E+4
5.4642500E+3 1.4448700E+4 5.5658461E+3 1.4376253E+4
6.3462100E+3 1.5506600E+4 6.4515383E+3 1.5457962E+4
7.3735400E+3 1.6669400E+4 7.4686768E+3 1.6562845E+4
8.5498100E+3 1.7778300E+4 8.6284559E+3 1.7675142E+4
9.8934800E+3 1.8897800E+4 9.9399704E+3 1.8775382E+4
1.1351600E+4 1.9990200E+4 1.1409086E+4 1.9840536E+4
1.2969600E+4 2.0982500E+4 1.3037215E+4 2.0844520E+4
1.4806600E+4 2.1937800E+4 1.4820161E+4 2.1759154E+4
1.6694400E+4 2.2584800E+4 1.6747170E+4 2.2555578E+4
1.8818400E+4 2.3312600E+4 1.8800452E+4 2.3206090E+4
2.1068400E+4 2.3636700E+4 2.0955271E+4 2.3686206E+4
2.3196800E+4 2.3923900E+4 2.3180782E+4 2.3976744E+4
2.5189400E+4 2.4093300E+4 2.5441681E+4 2.4065608E+4
2.7379500E+4 2.3929600E+4 2.7700252E+4 2.3948966E+4
2.9801000E+4 2.3433100E+4 2.9918998E+4 2.3631639E+4
3.1598900E+4 2.3075400E+4 3.2062975E+4 2.3126618E+4
