X Y Xfit Yfit
1.6554000E+1 2.4383000E+2 1.7022633E+1 2.4383000E+2
1.8425800E+1 2.6738100E+2 1.8808097E+1 2.6737577E+2
2.0627600E+1 2.9329900E+2 2.0794303E+1 2.9319166E+2
2.2826600E+1 3.2157200E+2 2.3006285E+1 3.2149562E+2
2.5341800E+1 3.5270000E+2 2.5472606E+1 3.5252625E+2
2.7993400E+1 3.8662200E+2 2.8225914E+1 3.8654474E+2
3.0989300E+1 4.2401400E+2 3.1303589E+1 4.2383685E+2
3.4748500E+1 4.6483400E+2 3.4748500E+1 4.6471518E+2
3.8575200E+1 5.0974200E+2 3.8609877E+1 5.0952146E+2
4.3252700E+1 5.5866800E+2 4.2944337E+1 5.5862914E+2
4.8151900E+1 6.1245600E+2 4.7817062E+1 6.1244602E+2
5.3619100E+1 6.7131700E+2 5.3303165E+1 6.7141712E+2
6.0204800E+1 7.3581800E+2 5.9489266E+1 7.3602768E+2
6.7181300E+1 8.0696500E+2 6.6475275E+1 8.0680618E+2
7.5061800E+1 8.8450500E+2 7.4376436E+1 8.8432755E+2
8.4284800E+1 9.6894400E+2 8.3325605E+1 9.6921642E+2
9.4619400E+1 1.0611700E+3 9.3475785E+1 1.0621503E+3
1.0646700E+2 1.1631800E+3 1.0500285E+2 1.1638623E+3
1.1978000E+2 1.2743200E+3 1.1810849E+2 1.2751448E+3
1.3396800E+2 1.3952400E+3 1.3302317E+2 1.3968512E+3
1.5162900E+2 1.5278200E+3 1.5000898E+2 1.5298982E+3
1.6945300E+2 1.6716500E+3 1.6936229E+2 1.6752678E+3
1.9300200E+2 1.8316800E+3 1.9141546E+2 1.8340075E+3
2.1689900E+2 2.0023900E+3 2.1653775E+2 2.0072314E+3
2.4464400E+2 2.1919500E+3 2.4513418E+2 2.1961191E+3
2.7868100E+2 2.3957200E+3 2.7764213E+2 2.4019161E+3
3.1453000E+2 2.6199200E+3 3.1452450E+2 2.6259331E+3
3.5090300E+2 2.8619300E+3 3.5625889E+2 2.8695476E+3
4.0061800E+2 3.1283700E+3 4.0332183E+2 3.1342089E+3
4.5243300E+2 3.4144200E+3 4.5616822E+2 3.4214475E+3
5.0773900E+2 3.7258300E+3 5.1520616E+2 3.7328930E+3
5.7218300E+2 4.0666800E+3 5.8076921E+2 4.0703030E+3
6.4064000E+2 4.4346400E+3 6.5308896E+2 4.4356056E+3
7.1280000E+2 4.8302700E+3 7.3227301E+2 4.8309572E+3
8.0428200E+2 5.2560900E+3 8.1829427E+2 5.2588155E+3
8.9971900E+2 5.7235000E+3 9.1099789E+2 5.7220250E+3
9.9803100E+2 6.2352600E+3 1.0101313E+3 6.2239085E+3
1.1154000E+3 6.7943600E+3 1.1154000E+3 6.7683561E+3
1.2289500E+3 7.3846100E+3 1.2265467E+3 7.3599027E+3
1.3425900E+3 8.0249500E+3 1.3434488E+3 8.0037843E+3
1.4606400E+3 8.7115900E+3 1.4662238E+3 8.7059705E+3
1.6133100E+3 9.4689200E+3 1.5953320E+3 9.4731723E+3
1.8071100E+3 1.0338300E+4 1.7316669E+3 1.0312831E+4
1.9026200E+3 1.1273100E+4 1.8766300E+3 1.1233097E+4
2.0441200E+3 1.2154800E+4 2.0321883E+3 1.2242814E+4
2.2009200E+3 1.3355200E+4 2.2009200E+3 1.3351509E+4
2.4664400E+3 1.4468700E+4 2.3860574E+3 1.4569394E+4
2.6473000E+3 1.5769300E+4 2.5915349E+3 1.5907397E+4
2.8682200E+3 1.7298000E+4 2.8220521E+3 1.7377194E+4
3.1515600E+3 1.8903300E+4 3.0831600E+3 1.8991267E+4
3.4126900E+3 2.0583000E+4 3.3813744E+3 2.0762945E+4
3.7638600E+3 2.2575200E+4 3.7243247E+3 2.2706468E+4
4.0763700E+3 2.4732700E+4 4.1209408E+3 2.4837034E+4
4.4986200E+3 2.7113100E+4 4.5816763E+3 2.7170808E+4
5.0517100E+3 2.9607100E+4 5.1187831E+3 2.9724943E+4
5.6844000E+3 3.2414000E+4 5.7466271E+3 3.2517533E+4
6.1533200E+3 3.5557600E+4 6.4820596E+3 3.5567539E+4
7.2290500E+3 3.8824600E+4 7.3448336E+3 3.8894623E+4
8.0801100E+3 4.2579800E+4 8.3580822E+3 4.2518940E+4
9.0622200E+3 4.6903600E+4 9.5488390E+3 4.6460783E+4
1.0710900E+4 5.0751900E+4 1.0948609E+4 5.0740126E+4
1.2202900E+4 5.5526800E+4 1.2593959E+4 5.5375965E+4
1.4088000E+4 6.1061100E+4 1.4527134E+4 6.0385523E+4
1.7001200E+4 6.6138000E+4 1.6796617E+4 6.5783104E+4
1.9410300E+4 7.2721500E+4 1.9457586E+4 7.1578686E+4
2.2828700E+4 7.8030700E+4 2.2572320E+4 7.7776407E+4
2.6832000E+4 8.4223800E+4 2.6210093E+4 8.4372177E+4
3.0447000E+4 9.2015200E+4 3.0447000E+4 9.1351673E+4
3.6974100E+4 1.0029400E+5 3.5364796E+4 9.8687195E+4
4.2977000E+4 1.0944000E+5 4.1049364E+4 1.0633506E+5
5.0763900E+4 1.1647700E+5 4.7587899E+4 1.1423240E+5
5.8632900E+4 1.2223000E+5 5.5065184E+4 1.2229459E+5
7.0192500E+4 1.3007500E+5 6.3558361E+4 1.3041304E+5
7.9766400E+4 1.3856000E+5 7.3130437E+4 1.3845411E+5
9.4383300E+4 1.4852500E+5 8.3823353E+4 1.4626043E+5
