X Y Xfit Yfit
4.5660700E+0 6.6430600E+1 4.5648594E+0 6.5883844E+1
4.7187100E+0 7.3813300E+1 4.7187100E+0 7.3341545E+1
4.9477700E+0 8.2033300E+1 4.9017610E+0 8.1643047E+1
5.1879700E+0 9.1240000E+1 5.1201287E+0 9.0883696E+1
5.2905400E+0 1.0158300E+2 5.3812898E+0 1.0116957E+2
5.6248800E+0 1.1298500E+2 5.6943937E+0 1.1261866E+2
6.0100700E+0 1.2568400E+2 6.0706456E+0 1.2536222E+2
6.5007100E+0 1.3981500E+2 6.5237790E+0 1.3954616E+2
7.0554000E+0 1.5556200E+2 7.0706365E+0 1.5533275E+2
7.7598300E+0 1.7307400E+2 7.7318827E+0 1.7290229E+2
8.5328800E+0 1.9263300E+2 8.5328800E+0 1.9245513E+2
9.5090900E+0 2.1435200E+2 9.5047615E+0 2.1421377E+2
1.0727600E+1 2.3851500E+2 1.0685745E+1 2.3842515E+2
1.2136100E+1 2.6542300E+2 1.2122736E+1 2.6536324E+2
1.3861700E+1 2.9535500E+2 1.3873293E+1 2.9533179E+2
1.6008000E+1 3.2871500E+2 1.6008000E+1 3.2866717E+2
1.8665000E+1 3.6574100E+2 1.8613371E+1 3.6574162E+2
2.1755200E+1 4.0700700E+2 2.1795360E+1 4.0696662E+2
2.5663000E+1 4.5280500E+2 2.5683611E+1 4.5279626E+2
3.0297700E+1 5.0366400E+2 3.0436619E+1 5.0373117E+2
3.6235100E+1 5.6022900E+2 3.6247948E+1 5.6032202E+2
4.3361800E+1 6.2304700E+2 4.3353834E+1 6.2317371E+2
5.2189800E+1 6.9291000E+2 5.2042343E+1 6.9294866E+2
6.2615100E+1 7.7046900E+2 6.2664666E+1 7.7037083E+2
7.5701700E+1 8.5636200E+2 7.5648854E+1 8.5622837E+2
9.1516700E+1 9.5154700E+2 9.1516700E+1 9.5137572E+2
1.1062700E+2 1.0568600E+3 1.1090438E+2 1.0567337E+3
1.3460100E+2 1.1736300E+3 1.3458748E+2 1.1732870E+3
1.6291600E+2 1.3026600E+3 1.6351107E+2 1.3020771E+3
1.9764300E+2 1.4447100E+3 1.9882490E+2 1.4441887E+3
2.4146400E+2 1.6005000E+3 2.4192390E+2 1.6007278E+3
2.9498600E+2 1.7725100E+3 2.9449308E+2 1.7727871E+3
3.5926500E+2 1.9599100E+3 3.5855516E+2 1.9613967E+3
4.3924400E+2 2.1662800E+3 4.3651833E+2 2.1674545E+3
5.3065200E+2 2.3920200E+3 5.3121941E+2 2.3916334E+3
6.4550500E+2 2.6337700E+3 6.4595543E+2 2.6342603E+3
7.8120400E+2 2.8963300E+3 7.8449359E+2 2.8951631E+3
9.5091300E+2 3.1739200E+3 9.5104554E+2 3.1734864E+3
1.1489600E+3 3.4673900E+3 1.1501881E+3 3.4674775E+3
1.3867100E+3 3.7696000E+3 1.3867100E+3 3.7742567E+3
1.6674000E+3 4.0826500E+3 1.6653609E+3 4.0895921E+3
1.9953100E+3 4.3959300E+3 1.9904889E+3 4.4077172E+3
2.3663500E+3 4.7066800E+3 2.3655622E+3 4.7212452E+3
2.7887800E+3 5.0160300E+3 2.7925928E+3 5.0212390E+3
3.2699300E+3 5.2923600E+3 3.2715232E+3 5.2975055E+3
3.7984600E+3 5.5333800E+3 3.7996637E+3 5.5391517E+3
4.3612500E+3 5.7422500E+3 4.3713124E+3 5.7354052E+3
4.9805400E+3 5.8916100E+3 4.9776863E+3 5.8766242E+3
5.5987000E+3 5.9522800E+3 5.6072636E+3 5.9553569E+3
6.2316700E+3 5.9844400E+3 6.2465518E+3 5.9672521E+3
6.8958600E+3 5.9310400E+3 6.8812041E+3 5.9116265E+3
7.4972800E+3 5.7935000E+3 7.4972800E+3 5.7915567E+3
8.0745000E+3 5.6166500E+3 8.0824403E+3 5.6134720E+3
8.5997000E+3 5.3814800E+3 8.6268537E+3 5.3863470E+3
9.1266900E+3 5.1193300E+3 9.1237019E+3 5.1206697E+3
9.5923400E+3 4.8533700E+3 9.5692420E+3 4.8273961E+3
9.9574300E+3 4.5266600E+3 9.9625238E+3 4.5170524E+3
1.0273800E+4 4.1617700E+3 1.0304888E+4 4.1990714E+3
1.0573700E+4 3.8814200E+3 1.0599343E+4 3.8814200E+3
1.0777000E+4 3.5489200E+3 1.0849981E+4 3.5704452E+3
1.1007500E+4 3.2349400E+3 1.1061449E+4 3.2709183E+3
1.1250400E+4 2.9944800E+3 1.1238555E+4 2.9861863E+3
1.1319200E+4 2.7504100E+3 1.1385971E+4 2.7183893E+3
1.1492300E+4 2.4513500E+3 1.1508052E+4 2.4686902E+3
