X Y Xfit Yfit
2.9483400E+1 9.0086100E+1 2.9243565E+1 9.0116853E+1
3.4496600E+1 9.8587400E+1 3.4496599E+1 9.8503087E+1
4.0703200E+1 1.0735800E+2 4.0703169E+1 1.0733471E+2
4.7991400E+1 1.1655700E+2 4.7994002E+1 1.1653381E+2
5.6477400E+1 1.2603200E+2 5.6500112E+1 1.2598741E+2
6.6321300E+1 1.3556400E+2 6.6344085E+1 1.3554204E+2
7.7604000E+1 1.4501900E+2 7.7628220E+1 1.4500043E+2
9.0384300E+1 1.5412400E+2 9.0419753E+1 1.5412170E+2
1.0473200E+2 1.6261200E+2 1.0473434E+2 1.6262703E+2
1.2053300E+2 1.7019400E+2 1.2051988E+2 1.7021195E+2
1.3765300E+2 1.7653600E+2 1.3764372E+2 1.7656609E+2
1.5588700E+2 1.8139900E+2 1.5588691E+2 1.8139897E+2
1.7496100E+2 1.8444800E+2 1.7494857E+2 1.8446903E+2
1.9444200E+2 1.8560400E+2 1.9446181E+2 1.8561108E+2
2.1400300E+2 1.8471800E+2 2.1402043E+2 1.8475693E+2
2.3315800E+2 1.8190000E+2 2.3321233E+2 1.8194452E+2
2.5163300E+2 1.7727700E+2 2.5165427E+2 1.7731357E+2
2.6898800E+2 1.7110300E+2 2.6902156E+2 1.7108860E+2
2.8503400E+2 1.6358300E+2 2.8506831E+2 1.6355320E+2
2.9956400E+2 1.5507600E+2 2.9963600E+2 1.5502072E+2
3.1265600E+2 1.4579600E+2 3.1265101E+2 1.4580650E+2
3.2405600E+2 1.3620900E+2 3.2411394E+2 1.3620536E+2
3.3411100E+2 1.2641200E+2 3.3408388E+2 1.2647639E+2
3.4272800E+2 1.1680200E+2 3.4266146E+2 1.1683462E+2
3.5000200E+2 1.0744900E+2 3.4997278E+2 1.0744901E+2
3.5616800E+2 9.8458100E+1 3.5615598E+2 9.8444703E+1
3.6141300E+2 8.9886900E+1 3.6135091E+2 8.9907956E+1
3.6573500E+2 8.1898700E+1 3.6569196E+2 8.1892355E+1
3.6937600E+2 7.4359900E+1 3.6930349E+2 7.4425267E+1
