Ew Nt
4.4420948E-1 5.5812665E+16
4.4150679E-1 5.6998685E+16
4.3880408E-1 5.8156407E+16
4.3610137E-1 5.9272656E+16
4.3339866E-1 6.0335953E+16
4.3069595E-1 6.1337169E+16
4.2799325E-1 6.2264328E+16
4.2529054E-1 6.3101064E+16
4.2258783E-1 6.3831924E+16
4.1988513E-1 6.4449128E+16
4.1718242E-1 6.4955371E+16
4.1447971E-1 6.5361381E+16
4.1177701E-1 6.5679792E+16
4.0907430E-1 6.5923710E+16
4.0637160E-1 6.6105473E+16
4.0366889E-1 6.6235425E+16
4.0096619E-1 6.6321962E+16
3.9826348E-1 6.6373170E+16
3.9556077E-1 6.6399618E+16
3.9285807E-1 6.6415702E+16
3.9015536E-1 6.6438461E+16
3.8745265E-1 6.6483499E+16
3.8474995E-1 6.6561109E+16
3.8204724E-1 6.6674682E+16
3.7934454E-1 6.6822284E+16
3.7664183E-1 6.7000792E+16
3.7393912E-1 6.7210840E+16
3.7123642E-1 6.7459164E+16
3.6853371E-1 6.7757630E+16
3.6583101E-1 6.8119611E+16
3.6312830E-1 6.8555854E+16
3.6042559E-1 6.9070924E+16
3.5772289E-1 6.9659786E+16
3.5502018E-1 7.0305271E+16
3.5231747E-1 7.0977704E+16
3.4961477E-1 7.1636598E+16
3.4691206E-1 7.2233328E+16
3.4420936E-1 7.2713797E+16
3.4150665E-1 7.3020992E+16
3.3880394E-1 7.3097946E+16
3.3610124E-1 7.2891002E+16
3.3339853E-1 7.2352797E+16
3.3069582E-1 7.1444585E+16
3.2799312E-1 7.0137718E+16
3.2529041E-1 6.8414962E+16
3.2258771E-1 6.6272326E+16
3.1988500E-1 6.3722090E+16
3.1718229E-1 6.0795714E+16
3.1447959E-1 5.7543804E+16
3.1177688E-1 5.4032924E+16
3.0907417E-1 5.0339606E+16
3.0637147E-1 4.6544400E+16
3.0366876E-1 4.2726787E+16
3.0096606E-1 3.8961410E+16
2.9826335E-1 3.5314603E+16
2.9556064E-1 3.1840229E+16
2.9285794E-1 2.8573897E+16
2.9015523E-1 2.5524055E+16
2.8745253E-1 2.2658454E+16
2.8474982E-1 1.9887575E+16
2.8204711E-1 1.7055165E+16
2.7934441E-1 1.3956382E+16
2.7664170E-1 1.0401177E+16
2.7393899E-1 6.3112275E+15
2.7123629E-1 4.0827176E+15
