x N
1.8527965E+0 1.3903816E+21
1.8433518E+0 1.3393839E+21
1.8331336E+0 1.2574417E+21
1.8222916E+0 1.2199668E+21
1.8113001E+0 1.2065653E+21
1.8000812E+0 1.2018666E+21
1.7888653E+0 1.1709453E+21
1.7769048E+0 1.1646896E+21
1.7654156E+0 1.1734949E+21
1.7534734E+0 1.1551076E+21
1.7414516E+0 1.1763665E+21
1.7297830E+0 1.1667606E+21
1.7173976E+0 1.1212757E+21
1.7045748E+0 1.1074385E+21
1.6916852E+0 1.1317702E+21
1.6792271E+0 1.1116870E+21
1.6656764E+0 1.0866895E+21
1.6524147E+0 1.1073093E+21
1.6391497E+0 1.0900757E+21
1.6252453E+0 1.0723742E+21
1.6113007E+0 1.0762804E+21
1.5972567E+0 1.0636751E+21
1.5827279E+0 1.0582656E+21
1.5682793E+0 1.0479077E+21
1.5531877E+0 1.0362009E+21
1.5381216E+0 1.0412297E+21
1.5228797E+0 1.0055921E+21
1.5064144E+0 9.7569797E+20
1.4898561E+0 9.7126169E+20
1.4728675E+0 9.6213080E+20
1.4556019E+0 9.5274274E+20
1.4378631E+0 9.5861232E+20
1.4203917E+0 9.7774167E+20
1.4029137E+0 9.6274709E+20
1.3844432E+0 9.5525570E+20
1.3662162E+0 9.6290879E+20
1.3475423E+0 9.6205012E+20
1.3287753E+0 9.6354092E+20
1.3096273E+0 9.4970825E+20
1.2897403E+0 9.2951592E+20
1.2691293E+0 9.2028834E+20
