x N
1.4869496E+0 1.5008918E+21
1.4760354E+0 1.6244188E+21
1.4667175E+0 2.0656050E+21
1.4600293E+0 1.0966273E+21
1.4362243E+0 9.7845219E+20
1.4256487E+0 1.1174379E+21
1.4056560E+0 1.3043129E+21
1.3993031E+0 1.2813467E+21
1.3784448E+0 1.0651517E+21
1.3663504E+0 1.3936701E+21
1.3529438E+0 1.0366459E+21
1.3316425E+0 1.0710155E+21
1.3190224E+0 1.4597991E+21
1.3064355E+0 1.2513168E+21
1.2892801E+0 1.0903934E+21
1.2719071E+0 1.1859284E+21
1.2571351E+0 1.1381835E+21
1.2379256E+0 1.2244829E+21
1.2251986E+0 1.2331952E+21
1.2057125E+0 1.1680102E+21
1.1907987E+0 1.1590376E+21
1.1704654E+0 1.1028070E+21
1.1532465E+0 1.2556255E+21
1.1369602E+0 1.2739597E+21
1.1197229E+0 1.1231674E+21
1.0982942E+0 1.1322320E+21
1.0807604E+0 1.3350778E+21
1.0646784E+0 1.3137956E+21
1.0460187E+0 1.1199203E+21
1.0231624E+0 1.1043678E+21
1.0031229E+0 1.1967940E+21
9.8272583E-1 1.2194229E+21
9.6262640E-1 1.3568316E+21
9.4562459E-1 1.2747589E+21
9.2222512E-1 1.2082863E+21
9.0214527E-1 1.2039619E+21
8.7742284E-1 1.1218040E+21
8.5283806E-1 1.2257652E+21
8.3106960E-1 1.3902768E+21
8.1086969E-1 1.2900700E+21
7.8449349E-1 1.1534495E+21
