x N
1.1242477E+0 2.2669779E+21
1.1146849E+0 3.5131003E+21
1.1118907E+0 3.6148531E+21
1.1025736E+0 2.1083485E+21
1.0909897E+0 1.9794821E+21
1.0801058E+0 2.0851085E+21
1.0694405E+0 1.9961820E+21
1.0573548E+0 1.8001627E+21
1.0439244E+0 1.9878232E+21
1.0340044E+0 2.0826646E+21
1.0213559E+0 2.0994415E+21
1.0113987E+0 2.0852223E+21
9.9830602E-1 1.8395688E+21
9.8496580E-1 1.9055626E+21
9.7245708E-1 1.9733716E+21
9.5966971E-1 2.0479219E+21
9.4777203E-1 1.9099747E+21
9.3281375E-1 1.9408076E+21
9.2100749E-1 2.1282214E+21
9.0803580E-1 1.9985352E+21
8.9424968E-1 2.2158131E+21
8.8358340E-1 2.2324857E+21
8.6959777E-1 2.0232625E+21
8.5600290E-1 2.0578908E+21
8.4203857E-1 2.0469257E+21
