T(K) Nd(cm-3) Mu(cm2/Vs)
251 1.38537E+16 1.50083E+3
492 2.14390E+15 4.56309E+2
184 8.85389E+15 2.48184E+3
367 1.51768E+19 1.27572E+2
426 1.00005E+18 2.57263E+2
415 2.94798E+17 3.84312E+2
308 2.16860E+14 1.31799E+3
406 2.39259E+14 7.10699E+2
253 4.10836E+18 2.15742E+2
310 4.65269E+17 4.11131E+2
259 2.97200E+16 1.21208E+3
291 2.02164E+18 2.48358E+2
380 1.10986E+19 1.33925E+2
235 6.24534E+14 2.32135E+3
491 4.19392E+15 4.55074E+2
326 3.73208E+15 1.08989E+3
159 1.81302E+15 4.33407E+3
394 4.15281E+17 3.64731E+2
281 6.47057E+18 1.80907E+2
431 1.55635E+17 4.29277E+2
489 4.98363E+16 4.11004E+2
183 1.98940E+19 1.87530E+2
450 2.36626E+18 1.87402E+2
373 2.02119E+14 8.61783E+2
296 2.02136E+16 1.09592E+3
495 6.85822E+17 2.52933E+2
426 8.79733E+19 8.64076E+1
466 6.83961E+19 8.43675E+1
301 9.53240E+16 7.38846E+2
184 2.78053E+19 1.75843E+2
489 7.48746E+14 4.67426E+2
275 1.20727E+16 1.34259E+3
415 2.88969E+16 5.86561E+2
336 7.31225E+17 3.32825E+2
445 1.25320E+16 5.43270E+2
233 1.81717E+18 2.86869E+2
224 4.67122E+13 2.68979E+3
253 4.14737E+19 1.33311E+2
343 2.68984E+17 4.70821E+2
215 9.20521E+15 2.02882E+3
458 2.93473E+15 5.33149E+2
195 1.57307E+17 7.84781E+2
423 1.99714E+16 5.85031E+2
322 3.82731E+16 8.58951E+2
189 7.35792E+15 2.52574E+3
383 1.54546E+15 7.97060E+2
293 8.54064E+15 1.25831E+3
374 4.36327E+15 8.13295E+2
272 4.67657E+17 4.36527E+2
454 2.20721E+18 1.90316E+2
151 8.83459E+13 6.33767E+3
214 1.19808E+13 3.01251E+3
414 3.56073E+19 1.00810E+2
439 3.74352E+16 5.15441E+2
181 2.62021E+19 1.80132E+2
468 3.04213E+19 9.56848E+1
377 3.75964E+17 3.90573E+2
435 7.79864E+15 5.80868E+2
239 2.28418E+14 2.29633E+3
271 1.72549E+17 6.48965E+2
422 1.40760E+14 6.53543E+2
397 1.96852E+17 4.49451E+2
175 4.35449E+13 4.65473E+3
342 4.14183E+16 7.74436E+2
279 2.60632E+13 1.65594E+3
389 3.69495E+13 7.86438E+2
433 2.25233E+13 6.19690E+2
229 6.74816E+17 4.07193E+2
158 1.22775E+17 9.60939E+2
235 1.11232E+18 3.35852E+2
489 4.11553E+16 4.17678E+2
208 9.47199E+18 1.99132E+2
288 5.16966E+13 1.54076E+3
342 1.99111E+13 1.05186E+3
377 6.25451E+17 3.28940E+2
488 9.31296E+13 4.71597E+2
400 2.36757E+17 4.25111E+2
172 5.72193E+15 3.01404E+3
391 1.58817E+15 7.58265E+2
186 2.34172E+15 3.25638E+3
182 6.90119E+15 2.69245E+3
331 1.90374E+18 2.38151E+2
383 1.49254E+17 5.04599E+2
250 1.49857E+18 2.94816E+2
379 1.37013E+17 5.21799E+2
211 4.48717E+13 3.09522E+3
378 4.48650E+13 8.40292E+2
197 3.48020E+16 1.46748E+3
322 3.77550E+19 1.16545E+2
296 1.07010E+15 1.39638E+3
444 1.40946E+18 2.23388E+2
213 2.72765E+17 6.01349E+2
292 1.59781E+17 6.36552E+2
377 2.05027E+17 4.70157E+2
481 1.51695E+19 1.08106E+2
202 1.72506E+16 1.84061E+3
320 4.87259E+19 1.12293E+2
323 2.87395E+18 2.10811E+2
301 1.33662E+16 1.13294E+3
360 1.84724E+18 2.30728E+2
320 4.55488E+16 8.36123E+2
263 5.49851E+16 9.97114E+2
341 3.34246E+13 1.05612E+3
442 1.82313E+15 5.80047E+2
155 2.94792E+19 1.98649E+2
180 8.48867E+18 2.25679E+2
209 6.50037E+15 2.27317E+3
201 5.99465E+14 3.21829E+3
341 2.53996E+19 1.20460E+2
312 2.65377E+17 5.05886E+2
317 3.17783E+15 1.15985E+3
279 3.49418E+17 4.84680E+2
233 2.09439E+16 1.49938E+3
262 2.07604E+13 1.91478E+3
299 6.08413E+16 8.48233E+2
411 5.42823E+19 9.47145E+1
346 5.34102E+19 1.05583E+2
316 2.48400E+15 1.18141E+3
156 3.83323E+17 6.18572E+2
186 1.58713E+19 1.93224E+2
410 2.01508E+15 6.82016E+2
428 1.19546E+15 6.25987E+2
298 1.10371E+13 1.43228E+3
272 4.16998E+18 2.06484E+2
158 7.18217E+15 3.06768E+3
352 1.97239E+14 9.79178E+2
457 2.79722E+13 5.48230E+2
242 3.96159E+18 2.23659E+2
403 5.08993E+14 7.20139E+2
245 2.01031E+15 2.00286E+3
293 3.82990E+13 1.48468E+3
366 4.98184E+14 8.91427E+2
193 3.36467E+16 1.50683E+3
323 2.72378E+14 1.18331E+3
284 3.48688E+18 2.12177E+2
364 2.58161E+19 1.15382E+2
207 4.01690E+19 1.52494E+2
277 6.16720E+13 1.68399E+3
446 8.97810E+13 5.77787E+2
362 1.18140E+18 2.68901E+2
478 3.50946E+19 9.20173E+1
200 7.25890E+15 2.35849E+3
389 4.53398E+13 7.86439E+2
208 4.93708E+19 1.47187E+2
160 2.64236E+13 5.72817E+3
224 1.25409E+15 2.47561E+3
