T JscF EtaF VocF FFF JscFB EtaFB VocFB FFFB eJsc eEta eVoc eFF
290 3.449561E-1 2.632120E+1 4.799600E-1 7.948870E+1 3.577375E-1 2.793850E+1 4.860670E-1 8.033620E+1 3.5728432E+00 5.7887861E+00 1.2564112E+00 1.0549416E+00
295 3.458991E-1 2.544100E+1 4.664150E-1 7.884640E+1 3.589397E-1 2.708460E+1 4.733050E-1 7.971300E+1 3.6330893E+00 6.0683931E+00 1.4557209E+00 1.0871502E+00
300 3.468033E-1 2.455530E+1 4.528940E-1 7.816910E+1 3.598542E-1 2.619210E+1 4.603670E-1 7.905120E+1 3.6267188E+00 6.2492125E+00 1.6232701E+00 1.1158591E+00
305 3.476830E-1 2.366610E+1 4.393570E-1 7.746310E+1 3.608263E-1 2.530930E+1 4.474230E-1 7.838480E+1 3.6425560E+00 6.4924751E+00 1.8027683E+00 1.1758657E+00
310 3.485359E-1 2.277410E+1 4.257610E-1 7.673570E+1 3.616701E-1 2.441080E+1 4.344500E-1 7.767810E+1 3.6315416E+00 6.7048192E+00 2.0000000E+00 1.2132120E+00
315 3.493607E-1 2.187960E+1 4.121960E-1 7.596800E+1 3.622693E-1 2.348030E+1 4.213030E-1 7.692140E+1 3.5632608E+00 6.8172042E+00 2.1616271E+00 1.2394470E+00
320 3.501734E-1 2.098410E+1 3.985990E-1 7.516910E+1 3.628793E-1 2.255370E+1 4.081410E-1 7.614030E+1 3.5014122E+00 6.9593903E+00 2.3379175E+00 1.2755400E+00
325 3.509675E-1 2.008850E+1 3.849810E-1 7.433790E+1 3.633574E-1 2.161170E+1 3.948630E-1 7.531420E+1 3.4098384E+00 7.0480342E+00 2.5026402E+00 1.2963027E+00
330 3.517402E-1 1.919280E+1 3.713980E-1 7.345930E+1 3.636157E-1 2.064150E+1 3.813830E-1 7.442290E+1 3.2659481E+00 7.0183853E+00 2.6181031E+00 1.2947628E+00
335 3.525152E-1 1.829920E+1 3.577720E-1 7.254640E+1 3.638456E-1 1.967030E+1 3.678080E-1 7.349210E+1 3.1140682E+00 6.9704072E+00 2.7285975E+00 1.2868050E+00
340 3.532768E-1 1.740770E+1 3.441600E-1 7.158730E+1 3.639436E-1 1.868450E+1 3.540620E-1 7.249990E+1 2.9308937E+00 6.8334716E+00 2.7966853E+00 1.2587604E+00
