Ytrue Ypred RelError Label
1.000000e+10 1.020608e+10 2.060793e-02 Jsc
1.000000e+11 1.010872e+11 1.087177e-02 Jsc
1.000000e+12 1.000592e+12 5.917021e-04 Jsc
1.000000e+13 1.008312e+13 8.311943e-03 Jsc
1.000000e+14 9.949051e+13 5.094934e-03 Jsc
1.468000e+10 1.464957e+10 2.072659e-03 Jsc
1.468000e+11 1.479059e+11 7.533088e-03 Jsc
1.468000e+12 1.476081e+12 5.504798e-03 Jsc
1.468000e+13 1.492831e+13 1.691490e-02 Jsc
2.154000e+10 2.166870e+10 5.974703e-03 Jsc
2.154000e+11 2.180570e+11 1.233498e-02 Jsc
2.154000e+12 2.171582e+12 8.162706e-03 Jsc
2.154000e+13 2.148764e+13 2.430975e-03 Jsc
3.162000e+10 3.199844e+10 1.196825e-02 Jsc
3.162000e+11 3.203162e+11 1.301775e-02 Jsc
3.162000e+12 3.193416e+12 9.935378e-03 Jsc
3.162000e+13 3.175915e+13 4.400823e-03 Jsc
4.642000e+10 4.644494e+10 5.371741e-04 Jsc
4.642000e+11 4.668312e+11 5.668212e-03 Jsc
4.642000e+12 4.688732e+12 1.006719e-02 Jsc
4.642000e+13 4.508090e+13 2.884752e-02 Jsc
6.813000e+10 6.810038e+10 4.347682e-04 Jsc
6.813000e+11 6.838176e+11 3.695345e-03 Jsc
6.813000e+12 6.852918e+12 5.859088e-03 Jsc
6.813000e+13 6.873850e+13 8.931510e-03 Jsc
