Ytrue Ypred RelError Label
1.000000e+10 1.000422e+10 4.223604e-04 Jsc
1.000000e+11 9.996296e+10 3.704187e-04 Jsc
1.000000e+12 1.000355e+12 3.552906e-04 Jsc
1.000000e+13 1.000440e+13 4.395053e-04 Jsc
1.000000e+14 9.996712e+13 3.287792e-04 Jsc
1.468000e+10 1.468477e+10 3.251928e-04 Jsc
1.468000e+11 1.467303e+11 4.748031e-04 Jsc
1.468000e+12 1.467375e+12 4.258137e-04 Jsc
1.468000e+13 1.467464e+13 3.648850e-04 Jsc
2.154000e+10 2.154087e+10 4.054348e-05 Jsc
2.154000e+11 2.154720e+11 3.342082e-04 Jsc
2.154000e+12 2.154898e+12 4.168842e-04 Jsc
2.154000e+13 2.153110e+13 4.133483e-04 Jsc
3.162000e+10 3.163208e+10 3.820465e-04 Jsc
3.162000e+11 3.161959e+11 1.283742e-05 Jsc
3.162000e+12 3.160815e+12 3.747989e-04 Jsc
3.162000e+13 3.163087e+13 3.438653e-04 Jsc
4.642000e+10 4.643689e+10 3.639416e-04 Jsc
4.642000e+11 4.640198e+11 3.881314e-04 Jsc
4.642000e+12 4.640300e+12 3.662534e-04 Jsc
4.642000e+13 4.643579e+13 3.401088e-04 Jsc
6.813000e+10 6.810557e+10 3.586216e-04 Jsc
6.813000e+11 6.810055e+11 4.323217e-04 Jsc
6.813000e+12 6.810606e+12 3.514052e-04 Jsc
6.813000e+13 6.810995e+13 2.942601e-04 Jsc
