Ytrue Ypred RelError Label
1.000000e+10 1.377778e+10 3.777781e-01 Jsc
1.000000e+11 9.210213e+10 7.897868e-02 Jsc
1.000000e+12 1.008628e+12 8.628269e-03 Jsc
1.000000e+13 9.837478e+12 1.625221e-02 Jsc
1.000000e+14 8.968067e+13 1.031933e-01 Jsc
1.468000e+10 1.643878e+10 1.198078e-01 Jsc
1.468000e+11 1.397662e+11 4.791393e-02 Jsc
1.468000e+12 1.365569e+12 6.977577e-02 Jsc
1.468000e+13 1.524079e+13 3.820103e-02 Jsc
2.154000e+10 2.366401e+10 9.860786e-02 Jsc
2.154000e+11 2.102519e+11 2.390015e-02 Jsc
2.154000e+12 2.049150e+12 4.867675e-02 Jsc
2.154000e+13 2.053073e+13 4.685581e-02 Jsc
3.162000e+10 3.326741e+10 5.210022e-02 Jsc
3.162000e+11 2.958979e+11 6.420644e-02 Jsc
3.162000e+12 2.853718e+12 9.749591e-02 Jsc
3.162000e+13 2.876156e+13 9.039978e-02 Jsc
4.642000e+10 5.323290e+10 1.467665e-01 Jsc
4.642000e+11 4.295416e+11 7.466274e-02 Jsc
4.642000e+12 4.348353e+12 6.325869e-02 Jsc
4.642000e+13 4.348381e+13 6.325271e-02 Jsc
6.813000e+10 7.335037e+10 7.662371e-02 Jsc
6.813000e+11 6.297256e+11 7.569999e-02 Jsc
6.813000e+12 6.647304e+12 2.432058e-02 Jsc
6.813000e+13 6.348693e+13 6.815019e-02 Jsc
