fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 6.938E+000 7.177E-005 1.000E+020 1.648E+000 1.348E-002 3.761E-004 
T02_285 T02_285.dat 285 40.68 1.000E+000 6.469E+000 7.608E-005 1.000E+020 1.633E+000 1.327E-002 2.636E-004 
T03_290 T03_290.dat 290 39.98 1.000E+000 6.036E+000 8.057E-005 1.000E+020 1.617E+000 1.310E-002 2.325E-004 
T04_295 T04_295.dat 295 39.3 1.000E+000 5.666E+000 8.518E-005 1.000E+020 1.604E+000 1.280E-002 2.592E-004 
T05_300 T05_300.dat 300 38.65 1.000E+000 5.344E+000 8.985E-005 1.000E+020 1.592E+000 1.246E-002 3.264E-004 
T06_305 T06_305.dat 305 38.01 1.000E+000 5.267E+000 9.478E-005 1.000E+020 1.565E+000 1.226E-002 4.495E-004 
T07_310 T07_310.dat 310 37.4 1.000E+000 4.942E+000 9.984E-005 1.000E+020 1.531E+000 1.209E-002 5.699E-004 
T08_315 T08_315.dat 315 36.81 1.000E+000 4.629E+000 1.051E-004 1.000E+020 1.486E+000 1.197E-002 7.263E-004 
T09_320 T09_320.dat 320 36.23 1.000E+000 4.321E+000 1.105E-004 1.000E+020 1.423E+000 1.204E-002 9.240E-004 
T10_325 T10_325.dat 325 35.67 1.000E+000 4.022E+000 1.162E-004 1.000E+020 1.354E+000 1.195E-002 1.154E-003 
T11_330 T11_330.dat 330 35.13 1.000E+000 3.732E+000 1.220E-004 1.000E+020 1.291E+000 1.160E-002 1.438E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 3.451E+000 1.289E-004 1.000E+020 1.179E+000 1.139E-002 1.732E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 2.940E+000 2.016E-004 1.000E+020 9.833E-001 2.694E-003 1.577E-003 
