T file kT1 Voc Jsc FF eta Vmpp Jmpp
280 1_280 41.408 6.124E-1 3.238E+2 8.345E-1 1.654E-1 5.347E-1 3.094E+2 
285 2_285 40.681 6.015E-1 3.237E+2 8.302E-1 1.616E-1 5.233E-1 3.089E+2 
290 3_290 39.98 5.905E-1 3.237E+2 8.258E-1 1.578E-1 5.120E-1 3.083E+2 
295 4_295 39.302 5.795E-1 3.237E+2 8.213E-1 1.540E-1 5.007E-1 3.077E+2 
300 5_300 38.647 5.684E-1 3.236E+2 8.167E-1 1.502E-1 4.893E-1 3.070E+2 
305 6_305 38.014 5.574E-1 3.236E+2 8.120E-1 1.465E-1 4.780E-1 3.064E+2 
310 7_310 37.401 5.462E-1 3.236E+2 8.071E-1 1.427E-1 4.667E-1 3.057E+2 
315 8_315 36.807 5.351E-1 3.236E+2 8.021E-1 1.389E-1 4.553E-1 3.050E+2 
320 9_320 36.232 5.240E-1 3.236E+2 7.970E-1 1.351E-1 4.440E-1 3.043E+2 
325 10_325 35.674 5.128E-1 3.235E+2 7.917E-1 1.313E-1 4.327E-1 3.035E+2 
330 11_330 35.134 5.016E-1 3.235E+2 7.862E-1 1.276E-1 4.214E-1 3.027E+2 
335 12_335 34.61 4.903E-1 3.235E+2 7.806E-1 1.238E-1 4.101E-1 3.019E+2 
340 13_340 34.101 4.790E-1 3.235E+2 7.748E-1 1.201E-1 3.989E-1 3.010E+2 
