True Mean Median
1.41753E+04 1.41009E+04 1.41640E+04 1.41753E+04
8.35610E+03 8.33257E+03 8.35131E+03 8.35610E+03
5.11528E+03 5.15540E+03 5.14506E+03 5.11528E+03
3.23917E+03 3.29560E+03 3.28778E+03 3.23917E+03
2.11460E+03 2.17471E+03 2.16722E+03 2.11460E+03
1.41896E+03 1.60237E+03 1.53277E+03 1.41896E+03
9.76205E+02 2.01458E+03 1.13989E+03 9.76205E+02
6.86999E+02 2.29083E+03 9.89840E+02 6.86999E+02
4.93568E+02 1.57011E+03 8.15414E+02 4.93568E+02
3.61363E+02 1.91100E+03 6.10271E+02 3.61363E+02
