N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+17 305 1.800E-4 1.263837993E+00 1.316169055E+00
1.468000E+10 1.000E+17 305 1.800E-4 1.273450563E+00 1.316267874E+00
2.154000E+10 1.000E+17 305 1.800E-4 1.281163808E+00 1.316412025E+00
3.162000E+10 1.000E+17 305 1.800E-4 1.287587024E+00 1.316621824E+00
4.642000E+10 1.000E+17 305 1.800E-4 1.293159922E+00 1.316926062E+00
6.813000E+10 1.000E+17 305 1.800E-4 1.298153881E+00 1.317364914E+00
1.000000E+11 1.000E+17 305 1.800E-4 1.302715690E+00 1.317993166E+00
1.468000E+11 1.000E+17 305 1.800E-4 1.306935454E+00 1.318883055E+00
2.154000E+11 1.000E+17 305 1.800E-4 1.310910346E+00 1.320125312E+00
3.162000E+11 1.000E+17 305 1.800E-4 1.314779044E+00 1.321826019E+00
4.642000E+11 1.000E+17 305 1.800E-4 1.318718780E+00 1.324096480E+00
6.813000E+11 1.000E+17 305 1.800E-4 1.322914395E+00 1.327034435E+00
1.000000E+12 1.000E+17 305 1.800E-4 1.327516056E+00 1.330698894E+00
1.468000E+12 1.000E+17 305 1.800E-4 1.332604285E+00 1.335087837E+00
2.154000E+12 1.000E+17 305 1.800E-4 1.338182500E+00 1.340140139E+00
3.162000E+12 1.000E+17 305 1.800E-4 1.344177547E+00 1.345731930E+00
4.642000E+12 1.000E+17 305 1.800E-4 1.350453680E+00 1.351693560E+00
6.813000E+12 1.000E+17 305 1.800E-4 1.356953640E+00 1.357943766E+00
1.000000E+13 1.000E+17 305 1.800E-4 1.363567119E+00 1.364353807E+00
