N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+15 290 1.800E-4 1.224086567E+00 1.229171981E+00
1.468000E+10 3.162E+15 290 1.800E-4 1.225625074E+00 1.229209171E+00
2.154000E+10 3.162E+15 290 1.800E-4 1.226717291E+00 1.229262722E+00
3.162000E+10 3.162E+15 290 1.800E-4 1.227549077E+00 1.229339518E+00
4.642000E+10 3.162E+15 290 1.800E-4 1.228198039E+00 1.229449554E+00
6.813000E+10 3.162E+15 290 1.800E-4 1.228735277E+00 1.229607285E+00
1.000000E+11 3.162E+15 290 1.800E-4 1.229230246E+00 1.229836980E+00
1.468000E+11 3.162E+15 290 1.800E-4 1.229739257E+00 1.230162952E+00
2.154000E+11 3.162E+15 290 1.800E-4 1.230326029E+00 1.230623596E+00
3.162000E+11 3.162E+15 290 1.800E-4 1.231064619E+00 1.231275612E+00
4.642000E+11 3.162E+15 290 1.800E-4 1.232038202E+00 1.232189877E+00
6.813000E+11 3.162E+15 290 1.800E-4 1.233340250E+00 1.233451311E+00
1.000000E+12 3.162E+15 290 1.800E-4 1.235070965E+00 1.235154194E+00
1.468000E+12 3.162E+15 290 1.800E-4 1.237317998E+00 1.237382109E+00
2.154000E+12 3.162E+15 290 1.800E-4 1.240173982E+00 1.240224838E+00
3.162000E+12 3.162E+15 290 1.800E-4 1.243661691E+00 1.243703180E+00
4.642000E+12 3.162E+15 290 1.800E-4 1.247754040E+00 1.247788330E+00
6.813000E+12 3.162E+15 290 1.800E-4 1.252351949E+00 1.252380809E+00
1.000000E+13 3.162E+15 290 1.800E-4 1.257351129E+00 1.257375576E+00
