Ytrue Ypred RSE
3162000000000.005859 3104468369408.000000 0.000337
89899999999999.984375 87608432525312.000000 0.000667
1456999999999.997070 1472837058560.000000 0.000117
10000000000.000000 10493371392.000000 0.002320
464200000000.000854 455979270144.000000 0.000319
6812999999999.998047 7216742531072.000000 0.003315
46420000000.000084 47746310144.000000 0.000794
3162000000000.005859 2804866613248.000000 0.014381
681299999999.999756 664725487616.000000 0.000607
10000000000000.000000 9614239203328.000000 0.001548
25579999999.999954 21816025088.000000 0.025387
6812999999999.998047 8460532973568.000000 0.047090
21540000000000.042969 23044177264640.000000 0.004558
10000000000000.000000 10694571327488.000000 0.004511
4642000000000.007812 4667656372224.000000 0.000030
10000000000000.000000 10041346228224.000000 0.000017
46420000000.000084 42637828096.000000 0.007227
280200000000.000488 273995956224.000000 0.000501
10000000000000.000000 10489247563776.000000 0.002282
464200000000.000854 460504367104.000000 0.000064
1000000000000.000000 819877052416.000000 0.039572
21540000000.000042 22679662592.000000 0.002659
1467999999999.998779 1471217664000.000000 0.000005
251700000000.000458 252076392448.000000 0.000002
100000000000000.000000 101891438542848.000000 0.000351
88779999999.999893 84240859136.000000 0.002755
1000000000000.000000 984657494016.000000 0.000239
132199999999.999863 106956038144.000000 0.045069
464200000000.000854 476493217792.000000 0.000683
464200000000.000854 453969084416.000000 0.000497
59060000000000.117188 63141501206528.000000 0.004467
68129999999.999977 65379143680.000000 0.001699
68129999999.999977 67026898944.000000 0.000266
40410000000.000038 35216891904.000000 0.018950
14679999999.999989 15739846656.000000 0.004861
7579999999999.998047 7936528089088.000000 0.002113
146799999999.999878 147664863232.000000 0.000035
46420000000000.085938 47931725971456.000000 0.001027
31620000000.000057 33897269248.000000 0.004838
6812999999999.998047 6687399870464.000000 0.000346
59530000000000.101562 69764365942784.000000 0.025220
4387000000000.000488 4076134989824.000000 0.005404
681299999999.999756 672127582208.000000 0.000184
68129999999999.976562 71659415404544.000000 0.002551
136899999999.999985 144531554304.000000 0.002943
1467999999999.998779 1454504148992.000000 0.000085
31620000000000.058594 18452980957184.000000 0.297130
3162000000000.005859 2974287396864.000000 0.003747
14679999999.999989 12506877952.000000 0.025721
96100000000000.171875 69777695440896.000000 0.103326
14679999999.999989 14937117696.000000 0.000301
3162000000000.005859 2969380061184.000000 0.003952
32059999999999.972656 38885140725760.000000 0.037366
15710000000000.021484 16828396994560.000000 0.004731
1467999999999.998779 1479417266176.000000 0.000060
159299999999.999695 155893563392.000000 0.000467
681299999999.999756 728536907776.000000 0.004495
68129999999.999977 68067848192.000000 0.000001
17290000000000.005859 18633203908608.000000 0.005600
2154000000000.004395 2144092422144.000000 0.000021
464200000000.000854 429449084928.000000 0.006058
464200000000.000854 461292797952.000000 0.000039
2200999999999.998535 2443819614208.000000 0.010962
464200000000.000854 466358861824.000000 0.000022
159299999999.999695 167420362752.000000 0.002472
31620000000.000057 30396284928.000000 0.001558
21540000000000.042969 20598568779776.000000 0.001998
1000000000000.000000 988255485952.000000 0.000140
81369999999.999878 79631851520.000000 0.000466
6812999999999.998047 6341426413568.000000 0.005147
639100000000.000366 650049355776.000000 0.000289
14679999999.999989 15165665280.000000 0.001059
46420000000000.085938 51477049507840.000000 0.010702
68129999999.999977 64767270912.000000 0.002563
681299999999.999756 721664737280.000000 0.003314
146799999999.999878 149777481728.000000 0.000403
35679999999.999947 30857504768.000000 0.021123
57559999999.999901 54904123392.000000 0.002232
31620000000000.058594 31803559641088.000000 0.000034
1000000000000.000000 978207178752.000000 0.000486
100000000000.000000 91304091648.000000 0.008282
6182000000000.003906 6313678471168.000000 0.000444
6812999999999.998047 6854287032320.000000 0.000037
46420000000000.085938 47126738370560.000000 0.000228
14679999999.999989 12574125056.000000 0.024025
6812999999999.998047 6972929212416.000000 0.000538
100000000000000.000000 101473669087232.000000 0.000214
628200000000.000244 676387291136.000000 0.005465
464200000000.000854 469928083456.000000 0.000150
316200000000.000610 253650010112.000000 0.048782
10000000000000.000000 10040883806208.000000 0.000017
4642000000000.007812 1818084245504.000000 0.944897
68129999999999.976562 88620383862784.000000 0.069539
3162000000000.005859 3175436255232.000000 0.000018
39419999999999.968750 43167759990784.000000 0.008254
3162000000000.005859 3096325652480.000000 0.000441
10000000000000.000000 10735700672512.000000 0.005042
46420000000.000084 43306852352.000000 0.004821
316200000000.000610 303683305472.000000 0.001632
2154000000000.004395 2096777134080.000000 0.000725
146799999999.999878 144132833280.000000 0.000336
1000000000000.000000 1003784110080.000000 0.000014
40410000000.000038 45095362560.000000 0.012047
325799999999.999634 340715241472.000000 0.002004
24370000000000.042969 22187064950784.000000 0.008813
37320000000.000061 36297637888.000000 0.000772
681299999999.999756 695398367232.000000 0.000420
316200000000.000610 310594109440.000000 0.000320
2476999999999.996094 2300610609152.000000 0.005460
46420000000.000084 46021525504.000000 0.000074
146799999999.999878 140339707904.000000 0.002026
11810000000000.013672 12671833341952.000000 0.004963
14679999999.999989 12600245248.000000 0.023384
10000000000.000000 10406836224.000000 0.001590
2200999999999.998535 2093363494912.000000 0.002515
