N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+15 310 2.100E-4 1.196054935E+00 1.198836784E+00
1.468000E+10 3.162E+15 310 2.100E-4 1.196986479E+00 1.198888837E+00
2.154000E+10 3.162E+15 310 2.100E-4 1.197665966E+00 1.199093465E+00
3.162000E+10 3.162E+15 310 2.100E-4 1.198505872E+00 1.199799718E+00
4.642000E+10 3.162E+15 310 2.100E-4 1.199921750E+00 1.200804372E+00
6.813000E+10 3.162E+15 310 2.100E-4 1.201611673E+00 1.202213316E+00
1.000000E+11 3.162E+15 310 2.100E-4 1.203739878E+00 1.204149839E+00
1.468000E+11 3.162E+15 310 2.100E-4 1.211177313E+00 1.211664098E+00
2.154000E+11 3.162E+15 310 2.100E-4 1.216066046E+00 1.216269603E+00
3.162000E+11 3.162E+15 310 2.100E-4 1.218756720E+00 1.218903921E+00
4.642000E+11 3.162E+15 310 2.100E-4 1.220104522E+00 1.220172444E+00
6.813000E+11 3.162E+15 310 2.100E-4 1.227467209E+00 1.227633213E+00
1.000000E+12 3.162E+15 310 2.100E-4 1.232653493E+00 1.232789149E+00
1.468000E+12 3.162E+15 310 2.100E-4 1.238351974E+00 1.238374883E+00
2.154000E+12 3.162E+15 310 2.100E-4 1.240369057E+00 1.240382162E+00
3.162000E+12 3.162E+15 310 2.100E-4 1.242192420E+00 1.242203025E+00
4.642000E+12 3.162E+15 310 2.100E-4 1.243558280E+00 1.243565265E+00
6.813000E+12 3.162E+15 310 2.100E-4 1.250400758E+00 1.250405513E+00
1.000000E+13 3.162E+15 310 2.100E-4 1.251521514E+00 1.251524809E+00
