fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_315 001_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.428959458E-14 1.000000000E+20 1.210611075E+00 3.234606608E-15 2.049248096E-04 
001_315_SRH 001_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.031829929E-14 1.000000000E+20 1.232083094E+00 3.150138888E-15 3.426950563E-04 
002_315 002_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.907132145E-14 1.000000000E+20 1.220511434E+00 4.712279153E-15 2.404645689E-04 
002_315_SRH 002_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.509345525E-14 1.000000000E+20 1.232157875E+00 4.623003059E-15 3.439849211E-04 
003_315 003_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 2.602439029E-14 1.000000000E+20 1.225265846E+00 6.866111873E-15 2.714715051E-04 
003_315_SRH 003_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 2.204379995E-14 1.000000000E+20 1.232266385E+00 6.784001881E-15 3.459016541E-04 
004_315 004_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 3.610440480E-14 1.000000000E+20 1.228602960E+00 1.002762195E-14 2.975540489E-04 
004_315_SRH 004_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 3.212152092E-14 1.000000000E+20 1.232422908E+00 9.954076281E-15 3.487619059E-04 
005_315 005_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 5.064274927E-14 1.000000000E+20 1.231174183E+00 1.466369314E-14 3.198728634E-04 
005_315_SRH 005_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 4.665356339E-14 1.000000000E+20 1.232647129E+00 1.460326125E-14 3.530509937E-04 
006_315 006_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 7.140890354E-14 1.000000000E+20 1.232024726E+00 2.147832582E-14 3.348982798E-04 
006_315_SRH 006_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 6.744491540E-14 1.000000000E+20 1.232964636E+00 2.141937221E-14 3.595121422E-04 
007_315 007_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.007910479E-13 1.000000000E+20 1.232770266E+00 3.146617866E-14 3.508084548E-04 
007_315_SRH 007_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 9.686522077E-14 1.000000000E+20 1.233407542E+00 3.140789212E-14 3.692727003E-04 
008_315 008_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.417672456E-13 1.000000000E+20 1.233975073E+00 4.608159498E-14 3.708171805E-04 
008_315_SRH 008_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.379497023E-13 1.000000000E+20 1.235237338E+00 4.599780335E-14 3.861874253E-04 
009_315 009_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.979469721E-13 1.000000000E+20 1.237471097E+00 6.736984036E-14 4.020239179E-04 
009_315_SRH 009_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.942176560E-13 1.000000000E+20 1.238540093E+00 6.728035598E-14 4.143098780E-04 
010_315 010_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 2.725104352E-13 1.000000000E+20 1.238969135E+00 9.860152402E-14 4.347733374E-04 
010_315_SRH 010_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 2.688717121E-13 1.000000000E+20 1.239698901E+00 9.851425999E-14 4.437932028E-04 
011_315 011_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 3.686865828E-13 1.000000000E+20 1.240972690E+00 1.442169120E-13 4.804063829E-04 
011_315_SRH 011_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 3.650871489E-13 1.000000000E+20 1.241109119E+00 1.441645667E-13 4.862704121E-04 
012_315 012_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 4.882124438E-13 1.000000000E+20 1.242635701E+00 2.109090864E-13 5.404507805E-04 
012_315_SRH 012_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 4.847440039E-13 1.000000000E+20 1.242726586E+00 2.108588933E-13 5.452790121E-04 
013_315 013_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 6.316976968E-13 1.000000000E+20 1.244420160E+00 3.083409590E-13 6.204233139E-04 
013_315_SRH 013_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 6.283719913E-13 1.000000000E+20 1.244480516E+00 3.082931154E-13 6.244992572E-04 
014_315 014_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 7.989876246E-13 1.000000000E+20 1.246232513E+00 4.507316630E-13 7.238798295E-04 
014_315_SRH 014_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 7.958061536E-13 1.000000000E+20 1.246272549E+00 4.506862012E-13 7.274010181E-04 
015_315 015_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 9.934545459E-13 1.000000000E+20 1.254903854E+00 6.616114402E-13 8.581171933E-04 
015_315_SRH 015_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 9.904851460E-13 1.000000000E+20 1.255083383E+00 6.615979453E-13 8.612261557E-04 
016_315 016_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.215227815E-12 1.000000000E+20 1.259506582E+00 9.695597079E-13 1.020789745E-03 
016_315_SRH 016_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.212320489E-12 1.000000000E+20 1.259533700E+00 9.695400819E-13 1.022884542E-03 
017_315 017_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.469601683E-12 1.000000000E+20 1.260981931E+00 1.418882689E-12 1.208017121E-03 
017_315_SRH 017_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.466789227E-12 1.000000000E+20 1.260998028E+00 1.418857121E-12 1.209947510E-03 
018_315 018_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.768072712E-12 1.000000000E+20 1.264791596E+00 2.091313947E-12 1.425852563E-03 
018_315_SRH 018_315_srh.dat 315 36.81 1.000000000E+00 0.000000000E+00 1.765441904E-12 1.000000000E+20 1.264926872E+00 2.091941386E-12 1.427821833E-03 
019_315 019_315.dat 315 36.81 1.000000000E+00 0.000000000E+00 2.120543184E-12 1.000000000E+20 1.269257795E+00 3.090249367E-12 1.693574490E-03 
