fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_320 001_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.549343283E-14 1.000000000E+20 1.179496435E+00 2.828101319E-15 1.187950645E-04 
001_320_SRH 001_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.534487103E-14 1.000000000E+20 1.223661235E+00 2.579302694E-15 2.517154451E-04 
002_320 002_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.242821678E-14 1.000000000E+20 1.191183970E+00 4.013591360E-15 1.338963564E-04 
002_320_SRH 002_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.232451910E-14 1.000000000E+20 1.223907272E+00 3.782938213E-15 2.540825459E-04 
003_320 003_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.244377945E-14 1.000000000E+20 1.208267224E+00 5.748887684E-15 1.629190413E-04 
003_320_SRH 003_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.235085492E-14 1.000000000E+20 1.224260572E+00 5.546377932E-15 2.575399529E-04 
004_320 004_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.662118183E-14 1.000000000E+20 1.214440729E+00 8.319095303E-15 1.883780520E-04 
004_320_SRH 004_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.661905368E-14 1.000000000E+20 1.224762948E+00 8.128067892E-15 2.625784633E-04 
005_320 005_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.652193932E-14 1.000000000E+20 1.218511779E+00 1.208878968E-14 2.128495568E-04 
005_320_SRH 005_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 6.666010828E-14 1.000000000E+20 1.225467639E+00 1.190402108E-14 2.698970725E-04 
006_320 006_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.040411675E-13 1.000000000E+20 1.223760947E+00 1.756714256E-14 2.392880941E-04 
006_320_SRH 006_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 9.431485380E-14 1.000000000E+20 1.226437017E+00 1.742008632E-14 2.804774421E-04 
007_320 007_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.410668435E-13 1.000000000E+20 1.225932272E+00 2.560946490E-14 2.638339836E-04 
007_320_SRH 007_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.315990553E-13 1.000000000E+20 1.227735864E+00 2.546720924E-14 2.956695288E-04 
008_320 008_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.895709167E-13 1.000000000E+20 1.228208324E+00 3.732714266E-14 2.926118583E-04 
008_320_SRH 008_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.804300298E-13 1.000000000E+20 1.229416169E+00 3.719080427E-14 3.172757557E-04 
009_320 009_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.510166078E-13 1.000000000E+20 1.230691447E+00 5.438129381E-14 3.282221892E-04 
009_320_SRH 009_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.422683584E-13 1.000000000E+20 1.231495084E+00 5.425195780E-14 3.476008393E-04 
010_320 010_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.261751253E-13 1.000000000E+20 1.233400335E+00 7.918984717E-14 3.738520322E-04 
010_320_SRH 010_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.178702989E-13 1.000000000E+20 1.233931611E+00 7.906834362E-14 3.894181208E-04 
011_320 011_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.152728028E-13 1.000000000E+20 1.236266790E+00 1.152889572E-13 4.328747124E-04 
011_320_SRH 011_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.074351292E-13 1.000000000E+20 1.236616240E+00 1.151756432E-13 4.456980132E-04 
012_320 012_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.186455367E-13 1.000000000E+20 1.239305193E+00 1.679287051E-13 5.101657008E-04 
012_320_SRH 012_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.112668587E-13 1.000000000E+20 1.239506386E+00 1.678134661E-13 5.206241343E-04 
013_320 013_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 6.375227846E-13 1.000000000E+20 1.242822353E+00 2.451015875E-13 6.054666712E-04 
013_320_SRH 013_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 6.306219806E-13 1.000000000E+20 1.243115964E+00 2.450804782E-13 6.122121685E-04 
014_320 014_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.752153437E-13 1.000000000E+20 1.245652966E+00 3.576548184E-13 7.193751607E-04 
014_320_SRH 014_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.686739077E-13 1.000000000E+20 1.245815997E+00 3.576142588E-13 7.254016764E-04 
015_320 015_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 9.374647775E-13 1.000000000E+20 1.251171133E+00 5.220229461E-13 8.612751580E-04 
015_320_SRH 015_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 9.313139070E-13 1.000000000E+20 1.251522851E+00 5.220158679E-13 8.664297487E-04 
016_320 016_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.131167402E-12 1.000000000E+20 1.259618714E+00 7.652489350E-13 1.040083132E-03 
016_320_SRH 016_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.125145608E-12 1.000000000E+20 1.259665084E+00 7.651697844E-13 1.044840776E-03 
017_320 017_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.358591242E-12 1.000000000E+20 1.261021151E+00 1.118806228E-12 1.229005144E-03 
017_320_SRH 017_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.352739748E-12 1.000000000E+20 1.261049771E+00 1.118723122E-12 1.233623016E-03 
018_320 018_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.629088956E-12 1.000000000E+20 1.262634794E+00 1.636926987E-12 1.449459256E-03 
018_320_SRH 018_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.623346211E-12 1.000000000E+20 1.262675768E+00 1.636931201E-12 1.454853226E-03 
019_320 019_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.955989702E-12 1.000000000E+20 1.271085313E+00 2.439424713E-12 1.742246228E-03 
019_320_SRH 019_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.950373907E-12 1.000000000E+20 1.271099552E+00 2.439352942E-12 1.746358972E-03 
