N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+15 320 2.400E-4 1.206472214E+00 1.212547098E+00
1.468000E+10 3.162E+15 320 2.400E-4 1.208423518E+00 1.212600365E+00
2.154000E+10 3.162E+15 320 2.400E-4 1.209815457E+00 1.212677997E+00
3.162000E+10 3.162E+15 320 2.400E-4 1.210833608E+00 1.212790722E+00
4.642000E+10 3.162E+15 320 2.400E-4 1.211618134E+00 1.212953641E+00
6.813000E+10 3.162E+15 320 2.400E-4 1.212277697E+00 1.213187519E+00
1.000000E+11 3.162E+15 320 2.400E-4 1.212900999E+00 1.213519848E+00
1.468000E+11 3.162E+15 320 2.400E-4 1.213565476E+00 1.213985654E+00
2.154000E+11 3.162E+15 320 2.400E-4 1.214341433E+00 1.214626140E+00
3.162000E+11 3.162E+15 320 2.400E-4 1.215291737E+00 1.215484195E+00
4.642000E+11 3.162E+15 320 2.400E-4 1.216465638E+00 1.216595427E+00
6.813000E+11 3.162E+15 320 2.400E-4 1.217886657E+00 1.217973847E+00
1.000000E+12 3.162E+15 320 2.400E-4 1.219539423E+00 1.219597881E+00
1.468000E+12 3.162E+15 320 2.400E-4 1.221374157E+00 1.221413293E+00
2.154000E+12 3.162E+15 320 2.400E-4 1.223267060E+00 1.223293213E+00
3.162000E+12 3.162E+15 320 2.400E-4 1.225282581E+00 1.225299583E+00
4.642000E+12 3.162E+15 320 2.400E-4 1.227018182E+00 1.227029823E+00
6.813000E+12 3.162E+15 320 2.400E-4 1.228889456E+00 1.228958028E+00
1.000000E+13 3.162E+15 320 2.400E-4 1.236445999E+00 1.236451788E+00
