T d154 d184 d214 d244
d 150 180 210 240
290 1.239042249E+00 1.237501354E+00 1.237223520E+00 1.236725223E+00
295 1.241797024E+00 1.240085631E+00 1.239631415E+00 1.239709788E+00
300 1.244579639E+00 1.242811202E+00 1.241987462E+00 1.241556594E+00
305 1.246687922E+00 1.244892239E+00 1.243551456E+00 1.243072515E+00
310 1.248849661E+00 1.246752973E+00 1.245120116E+00 1.244247985E+00
315 1.250429922E+00 1.247891215E+00 1.245999683E+00 1.244751639E+00
320 1.250345433E+00 1.247343701E+00 1.245028724E+00 1.243455058E+00
325 1.249993147E+00 1.246392408E+00 1.243816222E+00 1.241654752E+00
330 1.248536843E+00 1.244327064E+00 1.241151874E+00 1.238786116E+00
335 1.244819897E+00 1.239818006E+00 1.235980760E+00 1.233181089E+00
340 1.241116544E+00 1.235188051E+00 1.230692372E+00 1.227419628E+00
