T d154 d184 d214 d244
d 150 180 210 240
290 1.201300630E+00 1.198061483E+00 1.195272650E+00 1.193197125E+00
295 1.201920803E+00 1.199045128E+00 1.196455704E+00 1.194456626E+00
300 1.203204023E+00 1.200447332E+00 1.198026967E+00 1.195873628E+00
305 1.204367098E+00 1.201565750E+00 1.199060919E+00 1.196779480E+00
310 1.204576713E+00 1.201470358E+00 1.198650388E+00 1.196026878E+00
315 1.201635685E+00 1.197965489E+00 1.194300538E+00 1.190939013E+00
320 1.192295491E+00 1.186775427E+00 1.181359484E+00 1.176221840E+00
325 1.167355239E+00 1.157802477E+00 1.148742663E+00 1.140325519E+00
330 1.112038509E+00 1.095187670E+00 1.079782757E+00 1.065890514E+00
335 1.011469795E+00 1.010265956E+00 1.009377547E+00 1.008695211E+00
340 1.012114939E+00 1.011123344E+00 1.010388079E+00 1.009812585E+00
