T d154 d184 d214 d244
d 150 180 210 240
290 1.216913522E+00 1.213957261E+00 1.212138871E+00 1.210768912E+00
295 1.214511125E+00 1.211916299E+00 1.210143046E+00 1.208760459E+00
300 1.209241091E+00 1.206272056E+00 1.204427380E+00 1.202872951E+00
305 1.196681742E+00 1.192846187E+00 1.190539734E+00 1.188875953E+00
310 1.169738864E+00 1.164270581E+00 1.161212395E+00 1.159444884E+00
315 1.116202460E+00 1.109452982E+00 1.105183661E+00 1.103553079E+00
320 1.026961661E+00 1.016680115E+00 1.011779564E+00 1.010926931E+00
325 1.014341759E+00 1.012963209E+00 1.011900291E+00 1.011050627E+00
330 1.015837220E+00 1.014451950E+00 1.013323371E+00 1.012378745E+00
335 1.019299099E+00 1.017778353E+00 1.016460346E+00 1.015302503E+00
340 1.025369582E+00 1.023572214E+00 1.021922330E+00 1.020406580E+00
