N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 -1.823855280E-01 -1.759910260E-01 -1.700926520E-01 -1.641707560E-01
1.016672606E+01 -1.842435980E-01 -1.778584330E-01 -1.719642960E-01 -1.660516360E-01
1.033324570E+01 -1.855561770E-01 -1.792147500E-01 -1.733684400E-01 -1.675161830E-01
1.049996187E+01 -1.865153330E-01 -1.802524800E-01 -1.745001800E-01 -1.687641600E-01
1.066670514E+01 -1.872622930E-01 -1.811197090E-01 -1.755165210E-01 -1.699631950E-01
1.083333839E+01 -1.879053910E-01 -1.819370800E-01 -1.765520900E-01 -1.712628450E-01
1.100000000E+01 -1.885338880E-01 -1.828104350E-01 -1.777300710E-01 -1.728024560E-01
1.116672606E+01 -1.892275330E-01 -1.838385930E-01 -1.791659020E-01 -1.747084890E-01
1.133324570E+01 -1.854599410E-01 -1.851137620E-01 -1.809602410E-01 -1.770770850E-01
1.149996187E+01 -1.724435400E-01 -1.792718710E-01 -1.796898170E-01 -1.768828090E-01
1.166670514E+01 -1.555418660E-01 -1.570604490E-01 -1.530479770E-01 -1.470511400E-01
1.183333839E+01 -1.348888160E-01 -1.316282200E-01 -1.245391250E-01 -1.172057560E-01
1.200000000E+01 -1.115793910E-01 -1.052315010E-01 -9.725928600E-02 -9.066890000E-02
1.216672606E+01 -8.777271800E-02 -8.079008400E-02 -7.404523600E-02 -6.949040100E-02
1.233324570E+01 -6.609321900E-02 -6.062832100E-02 -5.614020600E-02 -5.371520600E-02
1.249996187E+01 -4.847343400E-02 -4.543180800E-02 -4.303798300E-02 -4.210399500E-02
1.266670514E+01 -3.536048700E-02 -3.444882400E-02 -3.340684100E-02 -3.326660400E-02
1.283333839E+01 -2.598370100E-02 -2.640841200E-02 -2.604563400E-02 -2.624675200E-02
1.300000000E+01 -1.920583900E-02 -2.029124800E-02 -2.020702700E-02 -2.053911700E-02
