d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.302579218E+00 1.233245361E+00 6.933385700E-02 1.296881478E+00 1.232383081E+00 6.449839700E-02 5.697740000E-03 8.622800000E-04
150 295 1.302189914E+00 1.235627503E+00 6.656241100E-02 1.297058329E+00 1.234806167E+00 6.225216200E-02 5.131585000E-03 8.213360000E-04
150 300 1.302847869E+00 1.238196649E+00 6.465122000E-02 1.298260323E+00 1.237407817E+00 6.085250600E-02 4.587546000E-03 7.888320000E-04
150 305 1.304426029E+00 1.241302337E+00 6.312369200E-02 1.300327146E+00 1.240488560E+00 5.983858600E-02 4.098883000E-03 8.137770000E-04
150 310 1.306762509E+00 1.244342467E+00 6.242004200E-02 1.303066470E+00 1.243465419E+00 5.960105100E-02 3.696039000E-03 8.770480000E-04
150 315 1.309813455E+00 1.246802453E+00 6.301100200E-02 1.306410453E+00 1.245836737E+00 6.057371600E-02 3.403002000E-03 9.657160000E-04
150 320 1.313335688E+00 1.249392442E+00 6.394324600E-02 1.310102824E+00 1.248254081E+00 6.184874300E-02 3.232864000E-03 1.138361000E-03
150 325 1.316999829E+00 1.251364375E+00 6.563545400E-02 1.313805268E+00 1.250028682E+00 6.377658600E-02 3.194561000E-03 1.335693000E-03
150 330 1.320428316E+00 1.251911500E+00 6.851681600E-02 1.317136214E+00 1.250367361E+00 6.676885300E-02 3.292102000E-03 1.544139000E-03
150 335 1.323569645E+00 1.252297907E+00 7.127173800E-02 1.320046676E+00 1.250457869E+00 6.958880700E-02 3.522969000E-03 1.840038000E-03
150 340 1.325829626E+00 1.251728593E+00 7.410103300E-02 1.321952293E+00 1.249547509E+00 7.240478400E-02 3.877333000E-03 2.181084000E-03
180 290 1.298230031E+00 1.233104154E+00 6.512587700E-02 1.293060851E+00 1.232272633E+00 6.078821800E-02 5.169180000E-03 8.315210000E-04
180 295 1.297798768E+00 1.235147585E+00 6.265118300E-02 1.293165752E+00 1.234358366E+00 5.880738600E-02 4.633016000E-03 7.892190000E-04
180 300 1.298525831E+00 1.237423316E+00 6.110251500E-02 1.294398173E+00 1.236665397E+00 5.773277600E-02 4.127658000E-03 7.579190000E-04
180 305 1.300294387E+00 1.240385982E+00 5.990840500E-02 1.296609094E+00 1.239602915E+00 5.700617900E-02 3.685293000E-03 7.830670000E-04
180 310 1.303064583E+00 1.243539854E+00 5.952472900E-02 1.299727085E+00 1.242692421E+00 5.703466400E-02 3.337498000E-03 8.474330000E-04
