fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_305 001_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.460822570E-15 1.000000000E+20 1.219129155E+00 1.492928798E-15 5.747473237E-04 
001_305_SRH 001_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.639717575E-15 1.000000000E+20 1.223286452E+00 1.480755029E-15 7.366898510E-04 
002_305 002_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 4.688531307E-15 1.000000000E+20 1.220434233E+00 2.185376373E-15 6.196124412E-04 
002_305_SRH 002_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.868100394E-15 1.000000000E+20 1.223350417E+00 2.173342034E-15 7.382458851E-04 
003_305 003_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 6.483231697E-15 1.000000000E+20 1.221412221E+00 3.201712347E-15 6.551683617E-04 
003_305_SRH 003_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 5.663711114E-15 1.000000000E+20 1.223443649E+00 3.189796426E-15 7.405256967E-04 
004_305 004_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 9.101741254E-15 1.000000000E+20 1.222171457E+00 4.693293327E-15 6.832223037E-04 
004_305_SRH 004_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 8.283487588E-15 1.000000000E+20 1.223579137E+00 4.681483357E-15 7.438633903E-04 
005_305 005_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.291161213E-14 1.000000000E+20 1.222803179E+00 6.882129023E-15 7.060035153E-04 
005_305_SRH 005_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.209515297E-14 1.000000000E+20 1.223775118E+00 6.870422995E-15 7.487440750E-04 
006_305 006_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.843270206E-14 1.000000000E+20 1.223387070E+00 1.009377367E-14 7.258562897E-04 
006_305_SRH 006_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.761880347E-14 1.000000000E+20 1.224056788E+00 1.008218163E-14 7.558681857E-04 
007_305 007_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.638764779E-14 1.000000000E+20 1.223996601E+00 1.480544834E-14 7.451607118E-04 
007_305_SRH 007_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.557740101E-14 1.000000000E+20 1.224457831E+00 1.479399450E-14 7.662393110E-04 
008_305 008_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.775570320E-14 1.000000000E+20 1.224703405E+00 2.171639901E-14 7.664124423E-04 
008_305_SRH 008_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.695062962E-14 1.000000000E+20 1.225021381E+00 2.170512457E-14 7.812785623E-04 
009_305 009_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 5.381505802E-14 1.000000000E+20 1.225579168E+00 3.185072467E-14 7.923896686E-04 
009_305_SRH 009_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 5.301722232E-14 1.000000000E+20 1.225799048E+00 3.183969182E-14 8.029630850E-04 
010_305 010_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 7.614419138E-14 1.000000000E+20 1.226693446E+00 4.670771908E-14 8.263537369E-04 
010_305_SRH 010_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 7.535629000E-14 1.000000000E+20 1.226846307E+00 4.669701427E-14 8.339736480E-04 
011_305 011_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.065375569E-13 1.000000000E+20 1.228105885E+00 6.848204688E-14 8.722228602E-04 
011_305_SRH 011_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.057629293E-13 1.000000000E+20 1.228213081E+00 6.847178727E-14 8.778160979E-04 
012_305 012_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.467918322E-13 1.000000000E+20 1.229854275E+00 1.003872473E-13 9.346573600E-04 
012_305_SRH 012_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.460343087E-13 1.000000000E+20 1.229930434E+00 1.003775856E-13 9.388616412E-04 
013_305 013_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.983678667E-13 1.000000000E+20 1.231944671E+00 1.471331175E-13 1.019000271E-03 
013_305_SRH 013_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.976313697E-13 1.000000000E+20 1.231999767E+00 1.471242475E-13 1.022252143E-03 
014_305 014_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.620523762E-13 1.000000000E+20 1.234353459E+00 2.156331011E-13 1.131052699E-03 
014_305_SRH 014_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.613402692E-13 1.000000000E+20 1.234394265E+00 2.156252684E-13 1.133648991E-03 
015_305 015_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.378771292E-13 1.000000000E+20 1.237045656E+00 3.160552135E-13 1.276678036E-03 
015_305_SRH 015_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.371914583E-13 1.000000000E+20 1.237076752E+00 3.160487384E-13 1.278819089E-03 
016_305 016_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 4.255313587E-13 1.000000000E+20 1.239997406E+00 4.633838340E-13 1.461174067E-03 
016_305_SRH 016_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 4.248722763E-13 1.000000000E+20 1.240021841E+00 4.633791417E-13 1.462993254E-03 
017_305 017_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 5.251970975E-13 1.000000000E+20 1.243202728E+00 6.797371006E-13 1.688380477E-03 
017_305_SRH 017_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 5.245627822E-13 1.000000000E+20 1.243222521E+00 6.797347736E-13 1.689964474E-03 
018_305 018_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 6.383442800E-13 1.000000000E+20 1.246661065E+00 9.977990489E-13 1.959834667E-03 
018_305_SRH 018_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 6.377314150E-13 1.000000000E+20 1.246677525E+00 9.977998891E-13 1.961237311E-03 
019_305 019_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 7.679787626E-13 1.000000000E+20 1.250363153E+00 1.465904259E-12 2.274628510E-03 
019_305_SRH 019_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 7.673833666E-13 1.000000000E+20 1.250377116E+00 1.465909364E-12 2.275881823E-03 
