fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_315 001_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.274571766E-14 1.000000000E+20 1.201419150E+00 1.337628805E-15 1.458173144E-04 
001_315_SRH 001_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 7.032880845E-15 1.000000000E+20 1.221873685E+00 1.245993507E-15 2.796386265E-04 
002_315 002_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.582425098E-14 1.000000000E+20 1.207920287E+00 1.915912998E-15 1.760991587E-04 
002_315_SRH 002_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.016507077E-14 1.000000000E+20 1.222319360E+00 1.826425124E-15 2.842195392E-04 
003_315 003_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.017879766E-14 1.000000000E+20 1.212922561E+00 2.763054878E-15 2.056783739E-04 
003_315_SRH 003_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.459532893E-14 1.000000000E+20 1.222950256E+00 2.675798570E-15 2.908838814E-04 
004_315 004_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.624555828E-14 1.000000000E+20 1.216908048E+00 4.002117754E-15 2.345085513E-04 
004_315_SRH 004_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.076648970E-14 1.000000000E+20 1.223829727E+00 3.917393874E-15 3.005401880E-04 
005_315 005_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 3.452806968E-14 1.000000000E+20 1.220287325E+00 5.811724864E-15 2.636396417E-04 
005_315_SRH 005_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.918895199E-14 1.000000000E+20 1.225030113E+00 5.730032275E-15 3.144507873E-04 
006_315 006_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 4.554582500E-14 1.000000000E+20 1.223392355E+00 8.450810756E-15 2.951041701E-04 
006_315_SRH 006_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 4.038763751E-14 1.000000000E+20 1.226623275E+00 8.372806800E-15 3.343256536E-04 
007_315 007_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 5.975113270E-14 1.000000000E+20 1.226470779E+00 1.229492083E-14 3.317292737E-04 
007_315_SRH 007_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 5.481634230E-14 1.000000000E+20 1.228663293E+00 1.222134403E-14 3.623981035E-04 
008_315 008_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 7.744543287E-14 1.000000000E+20 1.229678138E+00 1.789025405E-14 3.769414532E-04 
008_315_SRH 008_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 7.277141598E-14 1.000000000E+20 1.231164920E+00 1.782180894E-14 4.014371107E-04 
009_315 009_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 9.876091317E-14 1.000000000E+20 1.233074025E+00 2.603488782E-14 4.345366078E-04 
