T Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.500000000E+01 1.195977785E+00 1.198195116E+00 -2.217331000E-03 1.194603121E+00 1.194334773E+00 2.683480000E-04 1.374664000E-03 3.860343000E-03
290 1.549996187E+01 1.227006797E+00 1.205151623E+00 2.185517400E-02 1.222096082E+00 1.198534586E+00 2.356149600E-02 4.910715000E-03 6.617037000E-03
290 1.600000000E+01 1.250516736E+00 1.216158164E+00 3.435857200E-02 1.236560334E+00 1.207373945E+00 2.918638900E-02 1.395640200E-02 8.784219000E-03
290 1.649996187E+01 1.279426263E+00 1.215776594E+00 6.364966900E-02 1.247586118E+00 1.205030727E+00 4.255539100E-02 3.184014500E-02 1.074586700E-02
290 1.700000000E+01 1.318961089E+00 1.233687450E+00 8.527363900E-02 1.259132370E+00 1.218432617E+00 4.069975300E-02 5.982871900E-02 1.525483300E-02
295 1.500000000E+01 1.182920165E+00 1.064750508E+00 1.181696570E-01 1.181798036E+00 1.058984389E+00 1.228136470E-01 1.122129000E-03 5.766119000E-03
295 1.549996187E+01 1.227227815E+00 1.062935773E+00 1.642920420E-01 1.222742666E+00 1.052809981E+00 1.699326850E-01 4.485149000E-03 1.012579200E-02
295 1.600000000E+01 1.251555614E+00 1.055391798E+00 1.961638160E-01 1.238911766E+00 1.041812249E+00 1.970995170E-01 1.264384800E-02 1.357954900E-02
295 1.649996187E+01 1.279859175E+00 1.046131002E+00 2.337281730E-01 1.250727519E+00 1.030859394E+00 2.198681250E-01 2.913165600E-02 1.527160800E-02
295 1.700000000E+01 1.318415832E+00 1.038309186E+00 2.801066460E-01 1.262082292E+00 1.022491038E+00 2.395912540E-01 5.633354000E-02 1.581814800E-02
300 1.500000000E+01 1.154234119E+00 1.197473709E+00 -4.323959000E-02 1.153529211E+00 1.194262873E+00 -4.073366200E-02 7.049080000E-04 3.210836000E-03
300 1.549996187E+01 1.226492960E+00 1.208005312E+00 1.848764800E-02 1.222242122E+00 1.202091463E+00 2.015065900E-02 4.250838000E-03 5.913849000E-03
300 1.600000000E+01 1.253167210E+00 1.221006803E+00 3.216040700E-02 1.241317443E+00 1.212028592E+00 2.928885100E-02 1.184976700E-02 8.978211000E-03
