N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.374664000E-03 1.122069000E-03 7.048580000E-04 -1.328570000E-04 1.356220000E-03 1.434860000E-03 1.759809000E-03 2.464586000E-03 3.779850000E-03 6.034533000E-03 9.693956000E-03
1.600000000E+01 1.395640200E-02 1.264384600E-02 1.184976700E-02 1.161178500E-02 1.190624700E-02 1.269166700E-02 1.386376100E-02 1.519024200E-02 1.622746000E-02 1.613186200E-02 1.359934300E-02
1.700000000E+01 5.982871900E-02 5.633335000E-02 5.459434000E-02 5.492441000E-02 5.755669400E-02 6.261933600E-02 7.013277100E-02 7.999112500E-02 9.193733700E-02 1.056777510E-01 1.206337040E-01
1.549996187E+01 4.910715000E-03 4.484951000E-03 4.250838000E-03 4.157298000E-03 4.081770000E-03 3.776390000E-03 2.768924000E-03 4.117780000E-04 2.272798000E-03 2.377651000E-03 2.786872000E-03
1.649996187E+01 3.184014500E-02 2.913099700E-02 2.746487300E-02 2.696421200E-02 2.767386200E-02 2.966117500E-02 3.291984600E-02 3.733537600E-02 4.279344500E-02 4.900596900E-02 5.544781500E-02
1.674996808E+01 4.445742000E-02 4.121880800E-02 3.934234500E-02 3.902532000E-02 4.042164400E-02 4.363711900E-02 4.867148000E-02 5.547555600E-02 6.386650000E-02 7.363155600E-02 8.425684100E-02
1.624993176E+01 2.169718100E-02 1.969638300E-02 1.844868800E-02 1.801850600E-02 1.844203100E-02 1.971925100E-02 2.178037800E-02 2.451435600E-02 2.769931800E-02 3.082272600E-02 3.313168600E-02
1.574996808E+01 8.485869000E-03 7.704117000E-03 7.271645000E-03 7.169195000E-03 7.349546000E-03 7.697470000E-03 7.970033000E-03 7.717555000E-03 6.135628000E-03 2.197403000E-03 2.797410000E-03
1.524993176E+01 2.710760000E-03 2.458927000E-03 2.249520000E-03 1.953632000E-03 1.309348000E-03 -1.092900000E-04 1.775327000E-03 1.877170000E-03 2.260310000E-03 3.058115000E-03 4.486950000E-03
