T d154 d184 d214 d244
d 150 180 210 240
290 1.205620919E+00 1.202444235E+00 1.199475203E+00 1.197416522E+00
295 1.206972191E+00 1.204039074E+00 1.201319905E+00 1.199405969E+00
300 1.208361495E+00 1.205672269E+00 1.203323190E+00 1.201039197E+00
305 1.210456797E+00 1.207683439E+00 1.205472320E+00 1.203274038E+00
310 1.212515325E+00 1.209616487E+00 1.207226024E+00 1.204855753E+00
315 1.213843136E+00 1.210626523E+00 1.207940342E+00 1.205285936E+00
320 1.214144077E+00 1.210333264E+00 1.207143050E+00 1.203943051E+00
325 1.211238857E+00 1.206341241E+00 1.202174508E+00 1.198075292E+00
330 1.200920354E+00 1.193912760E+00 1.187910986E+00 1.182260433E+00
335 1.175523591E+00 1.164702929E+00 1.155370450E+00 1.146906272E+00
340 1.121431432E+00 1.104083354E+00 1.089437620E+00 1.076652979E+00
