T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.308001421E+00 1.245567330E+00 6.243409100E-02 1.305906460E+00 1.245098602E+00 6.080785800E-02 2.094961000E-03 4.687280000E-04
295 1.306879575E+00 1.246655013E+00 6.022456200E-02 1.304979949E+00 1.246224569E+00 5.875538000E-02 1.899626000E-03 4.304440000E-04
300 1.306800679E+00 1.248078963E+00 5.872171600E-02 1.305098151E+00 1.247688843E+00 5.740930800E-02 1.702528000E-03 3.901200000E-04
305 1.307760996E+00 1.250589203E+00 5.717179300E-02 1.306244738E+00 1.250222568E+00 5.602217000E-02 1.516258000E-03 3.666350000E-04
310 1.309611016E+00 1.253517542E+00 5.609347400E-02 1.308258873E+00 1.253158589E+00 5.510028400E-02 1.352143000E-03 3.589530000E-04
315 1.312277959E+00 1.256333180E+00 5.594477900E-02 1.311058191E+00 1.255974537E+00 5.508365400E-02 1.219768000E-03 3.586430000E-04
320 1.315590836E+00 1.259626038E+00 5.596479800E-02 1.314465827E+00 1.259244447E+00 5.522138000E-02 1.125009000E-03 3.815910000E-04
325 1.319218147E+00 1.262666236E+00 5.655191100E-02 1.318144311E+00 1.262244445E+00 5.589986600E-02 1.073836000E-03 4.217910000E-04
330 1.323118678E+00 1.265049906E+00 5.806877200E-02 1.322051372E+00 1.264576135E+00 5.747523700E-02 1.067306000E-03 4.737710000E-04
335 1.326597619E+00 1.267060330E+00 5.953728900E-02 1.325493198E+00 1.266510519E+00 5.898267900E-02 1.104421000E-03 5.498110000E-04
340 1.329429652E+00 1.268255196E+00 6.117445600E-02 1.328244819E+00 1.267610033E+00 6.063478600E-02 1.184833000E-03 6.451630000E-04
