N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 9.016004000E-03 1.004469500E-02 1.029423800E-02 1.014141300E-02
1.600000000E+01 3.185691600E-02 3.202783400E-02 3.201067200E-02 3.135190000E-02
1.700000000E+01 6.957756000E-02 6.957944300E-02 6.861211000E-02 6.926042700E-02
1.549996187E+01 2.297952100E-02 2.217339500E-02 2.290773800E-02 2.298284600E-02
1.649996187E+01 5.631766200E-02 5.627100000E-02 5.666840900E-02 5.664891700E-02
1.674996808E+01 6.544267100E-02 6.428802200E-02 6.504639000E-02 6.535748900E-02
1.624993176E+01 4.314604600E-02 4.357732000E-02 4.367789200E-02 4.365646800E-02
1.574996808E+01 2.594301700E-02 2.608291500E-02 2.541552000E-02 2.581130000E-02
1.524993176E+01 1.692890200E-02 1.678405300E-02 1.715078900E-02 1.715678200E-02
