N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.537450000E-04 1.304480000E-04 1.144140000E-04 1.028370000E-04
1.600000000E+01 1.029034000E-03 8.849640000E-04 8.389960000E-04 8.680980000E-04
1.700000000E+01 2.811480000E-03 2.645339000E-03 2.624852000E-03 2.570056000E-03
1.549996187E+01 5.078810000E-04 4.535530000E-04 4.186660000E-04 3.937680000E-04
1.649996187E+01 1.580274000E-03 1.521579000E-03 1.486768000E-03 1.460941000E-03
1.674996808E+01 2.071105000E-03 1.993095000E-03 1.956768000E-03 1.962362000E-03
1.624993176E+01 1.240180000E-03 1.203998000E-03 1.130586000E-03 1.101479000E-03
1.574996808E+01 7.109320000E-04 6.443420000E-04 6.416840000E-04 6.113730000E-04
1.524993176E+01 3.338560000E-04 2.960930000E-04 2.709760000E-04 2.534670000E-04
