N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 3.521900000E-05 2.892400000E-05 2.497900000E-05 2.224600000E-05
1.600000000E+01 8.567960000E-04 7.274090000E-04 6.426410000E-04 5.846760000E-04
1.700000000E+01 1.154627900E-02 1.060850900E-02 1.000084800E-02 9.536400000E-03
1.549996187E+01 2.341560000E-04 2.006190000E-04 1.790780000E-04 1.643640000E-04
1.649996187E+01 3.221363000E-03 2.811753000E-03 2.531186000E-03 2.333330000E-03
1.674996808E+01 6.200727000E-03 5.541679000E-03 5.089646000E-03 4.765878000E-03
1.624993176E+01 1.657875000E-03 1.419754000E-03 1.261177000E-03 1.151615000E-03
1.574996808E+01 4.473580000E-04 3.801030000E-04 3.367430000E-04 3.071870000E-04
1.524993176E+01 1.155030000E-04 9.966800000E-05 8.944300000E-05 8.244900000E-05
