N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.078029100E-02 7.121952000E-03 5.003100000E-04 -1.332888000E-02 -3.982935200E-02 -8.471049800E-02 -1.371565510E-01 -8.147349600E-02 4.661744000E-03 7.948971000E-03 1.170080900E-02
1.600000000E+01 3.070541800E-02 3.021698500E-02 2.983115400E-02 2.978914900E-02 2.948140600E-02 2.904722800E-02 2.853468800E-02 2.707711000E-02 2.437989500E-02 1.962068700E-02 1.059773000E-02
1.700000000E+01 6.762776400E-02 6.545689200E-02 6.410961700E-02 6.263457900E-02 6.093072000E-02 5.947747500E-02 5.876325100E-02 5.835774500E-02 5.818164400E-02 5.926829000E-02 6.051392600E-02
1.549996187E+01 2.384579700E-02 2.360664100E-02 2.357332800E-02 2.197956200E-02 1.983802200E-02 1.490617400E-02 5.147291000E-03 -1.234654200E-02 -4.210399500E-02 -8.861523400E-02 -1.499165760E-01
1.649996187E+01 5.497653400E-02 5.325831700E-02 5.201688400E-02 5.048856500E-02 4.915874700E-02 4.849586900E-02 4.780456200E-02 4.733380500E-02 4.738098200E-02 4.710846700E-02 4.674307600E-02
1.674996808E+01 6.370389300E-02 6.204374000E-02 6.060485800E-02 5.884930700E-02 5.733485700E-02 5.616081900E-02 5.528151500E-02 5.484323400E-02 5.516292600E-02 5.542770600E-02 5.592918500E-02
1.624993176E+01 4.226312700E-02 4.100748200E-02 3.993093300E-02 3.928833800E-02 3.851855700E-02 3.744097400E-02 3.722816900E-02 3.674099500E-02 3.599583800E-02 3.504502700E-02 3.136687500E-02
1.574996808E+01 2.608662700E-02 2.641800000E-02 2.650265100E-02 2.620313100E-02 2.562520200E-02 2.447959000E-02 2.165293300E-02 1.618254500E-02 6.653684000E-03 -1.050166000E-02 -3.870406800E-02
1.524993176E+01 1.813770400E-02 1.766275700E-02 1.583339600E-02 1.169037900E-02 3.151596000E-03 -1.307779000E-02 -4.274625000E-02 -8.948948600E-02 -1.460090660E-01 -8.934297300E-02 4.511380000E-03
