d T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 290 1.229822611E+00 1.207431397E+00 2.239121400E-02 1.229677976E+00 1.207229014E+00 2.244896200E-02 1.446350000E-04 2.023830000E-04
150 295 1.230112235E+00 1.065306128E+00 1.648061070E-01 1.229984619E+00 1.065034965E+00 1.649496540E-01 1.276160000E-04 2.711630000E-04
150 300 1.229934210E+00 1.209727996E+00 2.020621400E-02 1.229818733E+00 1.209556372E+00 2.026236100E-02 1.154770000E-04 1.716240000E-04
150 305 1.228213081E+00 1.077498712E+00 1.507143690E-01 1.228105885E+00 1.077207242E+00 1.508986430E-01 1.071960000E-04 2.914700000E-04
150 310 1.222682745E+00 1.213683722E+00 8.999023000E-03 1.222582621E+00 1.213519080E+00 9.063541000E-03 1.001240000E-04 1.646420000E-04
150 315 1.209587491E+00 1.082010103E+00 1.275773880E-01 1.209498465E+00 1.081737362E+00 1.277611030E-01 8.902600000E-05 2.727410000E-04
150 320 1.182610614E+00 1.215606767E+00 -3.299615300E-02 1.182546722E+00 1.215430668E+00 -3.288394600E-02 6.389200000E-05 1.760990000E-04
150 325 1.132416725E+00 1.054542300E+00 7.787442500E-02 1.132407277E+00 1.054406931E+00 7.800034600E-02 9.448000000E-06 1.353690000E-04
150 330 1.048932557E+00 1.204754428E+00 -1.558218710E-01 1.049021236E+00 1.204563102E+00 -1.555418660E-01 -8.867900000E-05 1.913260000E-04
150 335 1.011993594E+00 1.004371866E+00 7.621728000E-03 1.011924613E+00 1.004340022E+00 7.584591000E-03 6.898100000E-05 3.184400000E-05
150 340 1.012856025E+00 1.135923782E+00 -1.230677570E-01 1.012779508E+00 1.135817793E+00 -1.230382850E-01 7.651700000E-05 1.059890000E-04
180 290 1.226552888E+00 1.204807788E+00 2.174510000E-02 1.226431038E+00 1.204638562E+00 2.179247600E-02 1.218500000E-04 1.692260000E-04
180 295 1.227052670E+00 1.060290507E+00 1.667621630E-01 1.226943923E+00 1.060055966E+00 1.668879570E-01 1.087470000E-04 2.345410000E-04
180 300 1.226987949E+00 1.207489333E+00 1.949861600E-02 1.226887819E+00 1.207343492E+00 1.954432700E-02 1.001300000E-04 1.458410000E-04
180 305 1.225047728E+00 1.071872720E+00 1.531750080E-01 1.224952982E+00 1.071617832E+00 1.533351500E-01 9.474600000E-05 2.548880000E-04
180 310 1.219241805E+00 1.211285622E+00 7.956183000E-03 1.219151772E+00 1.211141778E+00 8.009994000E-03 9.003300000E-05 1.438440000E-04
180 315 1.205661009E+00 1.075638548E+00 1.300224610E-01 1.205580048E+00 1.075400241E+00 1.301798070E-01 8.096100000E-05 2.383070000E-04
180 320 1.177958282E+00 1.212554755E+00 -3.459647300E-02 1.177900539E+00 1.212393745E+00 -3.449320600E-02 5.774300000E-05 1.610100000E-04
180 325 1.126828097E+00 1.046743820E+00 8.008427700E-02 1.126822551E+00 1.046637247E+00 8.018530400E-02 5.546000000E-06 1.065730000E-04
180 330 1.042440412E+00 1.199768464E+00 -1.573280520E-01 1.042528960E+00 1.199589409E+00 -1.570604490E-01 -8.854800000E-05 1.790550000E-04
180 335 1.010824349E+00 1.004004857E+00 6.819492000E-03 1.010769793E+00 1.003979991E+00 6.789802000E-03 5.455600000E-05 2.486600000E-05
