T d154 d184 d214 d244
d 150 180 210 240
290 1.203454602E+00 1.200510501E+00 1.198141832E+00 1.196476714E+00
295 1.203818531E+00 1.201220786E+00 1.199033739E+00 1.197445810E+00
300 1.204922380E+00 1.202448397E+00 1.200423889E+00 1.198719489E+00
305 1.206009590E+00 1.203538712E+00 1.201472582E+00 1.199728107E+00
310 1.206329116E+00 1.203688776E+00 1.201470073E+00 1.199559796E+00
315 1.203903594E+00 1.201048881E+00 1.198396053E+00 1.196198015E+00
320 1.195987004E+00 1.192114956E+00 1.188654981E+00 1.185750323E+00
325 1.174418186E+00 1.168376386E+00 1.163401637E+00 1.159446236E+00
330 1.125718290E+00 1.115718745E+00 1.108098215E+00 1.102518378E+00
335 1.033518958E+00 1.018084145E+00 1.009956925E+00 1.009260366E+00
340 1.012524077E+00 1.011383681E+00 1.010527646E+00 1.009852561E+00
