N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 -8.329187000E-03 -9.802429000E-03 -7.925353000E-03 -3.133569000E-03
1.600000000E+01 2.535213600E-02 2.567685400E-02 2.419587100E-02 2.509751500E-02
1.700000000E+01 5.967567700E-02 5.920451500E-02 5.860077900E-02 5.893847000E-02
1.549996187E+01 -3.537826200E-02 -3.446412900E-02 -3.342063400E-02 -3.327944400E-02
1.649996187E+01 4.628160000E-02 4.720105800E-02 4.738647700E-02 4.740095000E-02
1.674996808E+01 5.571757400E-02 5.469148000E-02 5.534295800E-02 5.547258900E-02
1.624993176E+01 3.607734700E-02 3.642725500E-02 3.644995500E-02 3.607571200E-02
1.574996808E+01 8.834680000E-03 9.203382000E-03 9.070319000E-03 9.513105000E-03
1.524993176E+01 -1.408292620E-01 -1.354495190E-01 -1.338259230E-01 -1.339669130E-01
