T d154 d184 d214 d244
d 150 180 210 240
290 1.269887817E+00 1.267046890E+00 1.265043576E+00 1.263198977E+00
295 1.271401247E+00 1.268651025E+00 1.266897993E+00 1.265223011E+00
300 1.273771482E+00 1.271047402E+00 1.269482441E+00 1.267862465E+00
305 1.276787720E+00 1.273937454E+00 1.272306236E+00 1.270832286E+00
310 1.279058898E+00 1.277141346E+00 1.275347087E+00 1.273788563E+00
315 1.282326157E+00 1.280280012E+00 1.278248629E+00 1.276567272E+00
320 1.285344325E+00 1.283298362E+00 1.280670354E+00 1.278769389E+00
325 1.287640629E+00 1.285245280E+00 1.282171333E+00 1.279735767E+00
330 1.288913847E+00 1.285900306E+00 1.282376935E+00 1.279226019E+00
335 1.288504965E+00 1.284640348E+00 1.280363199E+00 1.276423054E+00
340 1.285506304E+00 1.280532926E+00 1.275268149E+00 1.270446093E+00
