T d154 d184 d214 d244
d 150 180 210 240
290 3.180550500E-02 3.191290600E-02 3.187174100E-02 3.119908500E-02
295 3.128599100E-02 3.137661500E-02 3.140683300E-02 3.071952300E-02
300 3.084593700E-02 3.094955900E-02 3.096968400E-02 3.027215700E-02
305 3.079153400E-02 3.080902900E-02 3.042826500E-02 3.019013300E-02
310 3.045831100E-02 3.041008800E-02 3.001417700E-02 2.980226500E-02
315 2.994434200E-02 2.997717900E-02 2.956155700E-02 2.933955700E-02
320 2.940622800E-02 2.952023500E-02 2.919138500E-02 2.891241800E-02
325 2.818852700E-02 2.837577700E-02 2.806587300E-02 2.773246300E-02
330 2.605621600E-02 2.630732600E-02 2.479495600E-02 2.568400400E-02
335 2.247066100E-02 2.276649100E-02 2.132032200E-02 2.219099100E-02
340 1.558453900E-02 1.599347200E-02 1.464117100E-02 1.551685200E-02
