N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.199695153E+00 1.197506882E+00 1.195638279E+00 1.194050595E+00
1.600000000E+01 1.228160018E+00 1.227251226E+00 1.226734511E+00 1.226039683E+00
1.700000000E+01 1.266677934E+00 1.266328850E+00 1.266444675E+00 1.266551924E+00
1.549996187E+01 1.211550629E+00 1.209821325E+00 1.208474701E+00 1.207326168E+00
1.649996187E+01 1.237306938E+00 1.237030871E+00 1.237065934E+00 1.237067727E+00
1.674996808E+01 1.248312013E+00 1.248017305E+00 1.248078963E+00 1.248121635E+00
1.624993176E+01 1.232709165E+00 1.232259449E+00 1.232046924E+00 1.231977483E+00
1.574996808E+01 1.219992506E+00 1.218604640E+00 1.217547199E+00 1.216670423E+00
1.524993176E+01 1.206395893E+00 1.204326700E+00 1.202710108E+00 1.201444177E+00
