Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
1.000000E+10 1.214569725E+00 1.062829275E+00 1.517404500E-01 1.211136954E+00 1.054501776E+00 1.566351780E-01 3.432771000E-03 8.327499000E-03
1.468000E+10 1.214724534E+00 1.062901124E+00 1.518234100E-01 1.212344743E+00 1.056961668E+00 1.553830750E-01 2.379791000E-03 5.939456000E-03
2.154000E+10 1.214948565E+00 1.063005831E+00 1.519427340E-01 1.213305645E+00 1.058821665E+00 1.544839800E-01 1.642920000E-03 4.184166000E-03
3.162000E+10 1.215270701E+00 1.063158206E+00 1.521124950E-01 1.214139772E+00 1.060235679E+00 1.539040930E-01 1.130929000E-03 2.922527000E-03
4.642000E+10 1.215729667E+00 1.063379435E+00 1.523502320E-01 1.214952483E+00 1.061349131E+00 1.536033520E-01 7.771840000E-04 2.030304000E-03
6.813000E+10 1.216375135E+00 1.063698809E+00 1.526763260E-01 1.215841259E+00 1.062292411E+00 1.535488480E-01 5.338760000E-04 1.406398000E-03
1.000000E+11 1.217266465E+00 1.064156905E+00 1.531095600E-01 1.216899387E+00 1.063183338E+00 1.537160490E-01 3.670780000E-04 9.735670000E-04
1.468000E+11 1.218467157E+00 1.064807555E+00 1.536596020E-01 1.218214056E+00 1.064132703E+00 1.540813530E-01 2.531010000E-04 6.748520000E-04
2.154000E+11 1.220032482E+00 1.065719156E+00 1.543133260E-01 1.219857058E+00 1.065249834E+00 1.546072240E-01 1.754240000E-04 4.693220000E-04
3.162000E+11 1.221991271E+00 1.066973617E+00 1.550176540E-01 1.221868606E+00 1.066645459E+00 1.552231470E-01 1.226650000E-04 3.281580000E-04
4.642000E+11 1.224328426E+00 1.068659390E+00 1.556690360E-01 1.224241509E+00 1.068428310E+00 1.558131990E-01 8.691700000E-05 2.310800000E-04
6.813000E+11 1.226982475E+00 1.070858438E+00 1.561240370E-01 1.226919712E+00 1.070694332E+00 1.562253800E-01 6.276300000E-05 1.641060000E-04
1.000000E+12 1.229868271E+00 1.073624754E+00 1.562435170E-01 1.229821834E+00 1.073507100E+00 1.563147340E-01 4.643700000E-05 1.176540000E-04
1.468000E+12 1.232915228E+00 1.076958445E+00 1.559567830E-01 1.232879871E+00 1.076873371E+00 1.560065000E-01 3.535700000E-05 8.507400000E-05
2.154000E+12 1.236092014E+00 1.080782565E+00 1.553094490E-01 1.236064234E+00 1.080720541E+00 1.553436930E-01 2.778000000E-05 6.202400000E-05
3.162000E+12 1.239400703E+00 1.084936884E+00 1.544638190E-01 1.239378192E+00 1.084891419E+00 1.544867730E-01 2.251100000E-05 4.546500000E-05
4.642000E+12 1.242855156E+00 1.089203188E+00 1.536519680E-01 1.242836420E+00 1.089169720E+00 1.536667000E-01 1.873600000E-05 3.346800000E-05
6.813000E+12 1.246467393E+00 1.093358722E+00 1.531086710E-01 1.246451477E+00 1.093334039E+00 1.531174380E-01 1.591600000E-05 2.468300000E-05
1.000000E+13 1.250246378E+00 1.097231157E+00 1.530152210E-01 1.250232668E+00 1.097212966E+00 1.530197020E-01 1.371000000E-05 1.819100000E-05
