N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.374664000E-03 2.710760000E-03 4.910715000E-03 8.485869000E-03 1.395640200E-02 2.169718100E-02 3.184014500E-02 4.445742000E-02 5.982871900E-02
1.016672606E+01 9.527750000E-04 1.906347000E-03 3.530370000E-03 6.292472000E-03 1.076281900E-02 1.747773800E-02 2.674600300E-02 3.865120700E-02 5.328733200E-02
1.033324570E+01 6.576470000E-04 1.329949000E-03 2.504678000E-03 4.577285000E-03 8.101078000E-03 1.371604200E-02 2.194942000E-02 3.305104100E-02 4.706759900E-02
1.049996187E+01 4.528080000E-04 9.227650000E-04 1.759694000E-03 3.278652000E-03 5.967849000E-03 1.048727800E-02 1.753740900E-02 2.762367200E-02 4.092045000E-02
1.066670514E+01 3.114270000E-04 6.381580000E-04 1.228198000E-03 2.321914000E-03 4.320576000E-03 7.833195000E-03 1.363694200E-02 2.247990200E-02 3.480142900E-02
1.083333839E+01 2.142460000E-04 4.407650000E-04 8.540720000E-04 1.632157000E-03 3.088449000E-03 5.740583000E-03 1.034477500E-02 1.779692200E-02 2.883698900E-02
1.100000000E+01 1.476370000E-04 3.046120000E-04 5.932910000E-04 1.142950000E-03 2.190026000E-03 4.149416000E-03 7.689928000E-03 1.373437100E-02 2.325026500E-02
1.116672606E+01 1.020760000E-04 2.110640000E-04 4.127820000E-04 8.001090000E-04 1.547507000E-03 2.974500000E-03 5.633755000E-03 1.037736100E-02 1.826770900E-02
1.133324570E+01 7.096600000E-05 1.469690000E-04 2.884490000E-04 5.618720000E-04 1.094459000E-03 2.126185000E-03 4.093049000E-03 7.722468000E-03 1.404252300E-02
1.149996187E+01 4.975100000E-05 1.031390000E-04 2.030970000E-04 3.972980000E-04 7.781790000E-04 1.523581000E-03 2.967473000E-03 5.697740000E-03 1.062159500E-02
1.166670514E+01 3.530500000E-05 7.320800000E-05 1.446350000E-04 2.840370000E-04 5.588040000E-04 1.100203000E-03 2.159815000E-03 4.195682000E-03 7.956704000E-03
1.183333839E+01 2.547300000E-05 5.278700000E-05 1.046340000E-04 2.062300000E-04 4.071640000E-04 8.045850000E-04 1.586657000E-03 3.102014000E-03 5.940206000E-03
1.200000000E+01 1.878600000E-05 3.884800000E-05 7.725800000E-05 1.527640000E-04 3.023410000E-04 5.984410000E-04 1.181630000E-03 2.313486000E-03 4.442857000E-03
1.216672606E+01 1.422200000E-05 2.931600000E-05 5.846500000E-05 1.158820000E-04 2.295500000E-04 4.540260000E-04 8.945270000E-04 1.745574000E-03 3.340939000E-03
1.233324570E+01 1.108700000E-05 2.276100000E-05 4.546900000E-05 9.019700000E-05 1.784300000E-04 3.516380000E-04 6.887620000E-04 1.333595000E-03 2.530240000E-03
1.249996187E+01 8.897000000E-06 1.819000000E-05 3.633800000E-05 7.197300000E-05 1.417930000E-04 2.775290000E-04 5.385090000E-04 1.030521000E-03 1.930000000E-03
1.266670514E+01 7.331000000E-06 1.491600000E-05 2.974100000E-05 5.865100000E-05 1.147370000E-04 2.223590000E-04 4.261050000E-04 8.035090000E-04 1.481029000E-03
1.283333839E+01 6.161000000E-06 1.248600000E-05 2.477700000E-05 4.852500000E-05 9.401200000E-05 1.799640000E-04 3.398490000E-04 6.302960000E-04 1.141372000E-03
1.300000000E+01 5.251000000E-06 1.058300000E-05 2.086400000E-05 4.049500000E-05 7.755300000E-05 1.464180000E-04 2.721560000E-04 4.959910000E-04 8.816870000E-04
