N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.122069000E-03 9.416500000E-04 8.223970000E-04 7.344580000E-04
1.016672606E+01 7.735120000E-04 6.469990000E-04 5.638900000E-04 5.029410000E-04
1.033324570E+01 5.318580000E-04 4.438980000E-04 3.863690000E-04 3.443440000E-04
1.049996187E+01 3.651660000E-04 3.043970000E-04 2.647590000E-04 2.359130000E-04
1.066670514E+01 2.506360000E-04 2.088300000E-04 1.816370000E-04 1.618980000E-04
1.083333839E+01 1.721540000E-04 1.434970000E-04 1.249070000E-04 1.114650000E-04
1.100000000E+01 1.184870000E-04 9.891000000E-05 8.625900000E-05 7.717100000E-05
1.116672606E+01 8.185200000E-05 6.853000000E-05 5.998800000E-05 5.391100000E-05
1.133324570E+01 5.687600000E-05 4.788200000E-05 4.216900000E-05 3.819800000E-05
1.149996187E+01 3.989200000E-05 3.387500000E-05 3.013700000E-05 2.761000000E-05
1.166670514E+01 2.836200000E-05 2.440300000E-05 2.201400000E-05 2.047000000E-05
1.183333839E+01 2.055000000E-05 1.800600000E-05 1.653200000E-05 1.561600000E-05
1.200000000E+01 1.525500000E-05 1.366500000E-05 1.278300000E-05 1.225800000E-05
1.216672606E+01 1.165800000E-05 1.068700000E-05 1.016700000E-05 9.875000000E-06
1.233324570E+01 9.177000000E-06 8.597000000E-06 8.295000000E-06 8.139000000E-06
1.249996187E+01 7.428000000E-06 7.090000000E-06 6.927000000E-06 6.844000000E-06
1.266670514E+01 6.165000000E-06 5.968000000E-06 5.886000000E-06 5.854000000E-06
1.283333839E+01 5.214000000E-06 5.107000000E-06 5.076000000E-06 5.073000000E-06
1.300000000E+01 4.462000000E-06 4.418000000E-06 4.412000000E-06 4.416000000E-06
