T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.228047089E+00 1.206061683E+00 2.198540600E-02 1.227957436E+00 1.205938773E+00 2.201866300E-02 8.965300000E-05 1.229100000E-04
295 1.228538480E+00 1.061749645E+00 1.667888350E-01 1.228459021E+00 1.061584878E+00 1.668741430E-01 7.945900000E-05 1.647670000E-04
300 1.228662693E+00 1.208473210E+00 2.018948300E-02 1.228590236E+00 1.208368833E+00 2.022140300E-02 7.245700000E-05 1.043770000E-04
305 1.227270488E+00 1.073561973E+00 1.537085150E-01 1.227202602E+00 1.073383176E+00 1.538194260E-01 6.788600000E-05 1.787970000E-04
310 1.222681444E+00 1.212171438E+00 1.051000600E-02 1.222617281E+00 1.212070006E+00 1.054727500E-02 6.416300000E-05 1.014320000E-04
315 1.211535230E+00 1.078335769E+00 1.331994610E-01 1.211477043E+00 1.078165840E+00 1.333112030E-01 5.818700000E-05 1.699290000E-04
320 1.188344704E+00 1.213654955E+00 -2.531025100E-02 1.188300870E+00 1.213542925E+00 -2.524205500E-02 4.383400000E-05 1.120300000E-04
325 1.144690100E+00 1.053656777E+00 9.103332300E-02 1.144678776E+00 1.053568041E+00 9.111073500E-02 1.132400000E-05 8.873600000E-05
330 1.070582910E+00 1.202386555E+00 -1.318036450E-01 1.070632545E+00 1.202260765E+00 -1.316282200E-01 -4.963500000E-05 1.257900000E-04
335 1.010948282E+00 1.004059479E+00 6.888803000E-03 1.010909032E+00 1.004041682E+00 6.867350000E-03 3.925000000E-05 1.779700000E-05
340 1.011467130E+00 1.134962505E+00 -1.234953750E-01 1.011424756E+00 1.134886693E+00 -1.234619370E-01 4.237400000E-05 7.581200000E-05
