N_Fe Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
1.000000000E+01 1.016101623E+00 1.008678172E+00 1.154794517E+00 1.199507860E+00 1.206897910E+00 1.201569731E+00 1.189955918E+00 1.176407589E+00 1.163308239E+00
1.016672606E+01 1.016798059E+00 1.009195204E+00 1.156940010E+00 1.203653722E+00 1.212984343E+00 1.209890081E+00 1.200880461E+00 1.190301627E+00 1.180620800E+00
1.033324570E+01 1.017303329E+00 1.009590774E+00 1.158584120E+00 1.206659664E+00 1.217429480E+00 1.216093956E+00 1.209287166E+00 1.201472336E+00 1.195335506E+00
1.049996187E+01 1.017655546E+00 1.009885842E+00 1.159939422E+00 1.208860733E+00 1.220676115E+00 1.220711030E+00 1.215738684E+00 1.210426727E+00 1.207770365E+00
1.066670514E+01 1.017888031E+00 1.010103641E+00 1.161187826E+00 1.210524624E+00 1.223091201E+00 1.224215416E+00 1.220806692E+00 1.217794766E+00 1.218508084E+00
1.083333839E+01 1.018026299E+00 1.010265956E+00 1.162496047E+00 1.211864687E+00 1.224970661E+00 1.227009017E+00 1.225011274E+00 1.224198921E+00 1.228176096E+00
1.100000000E+01 1.018087577E+00 1.010391928E+00 1.164029510E+00 1.213055085E+00 1.226553904E+00 1.229426521E+00 1.228798588E+00 1.230173142E+00 1.237280200E+00
1.116672606E+01 1.018081682E+00 1.010498526E+00 1.165961596E+00 1.214243839E+00 1.228039497E+00 1.231747121E+00 1.232531556E+00 1.236108512E+00 1.246106813E+00
1.133324570E+01 1.018012787E+00 1.010602106E+00 1.168473217E+00 1.215561263E+00 1.229597206E+00 1.234200923E+00 1.236477073E+00 1.242215031E+00 1.254703651E+00
1.149996187E+01 1.017882413E+00 1.010720891E+00 1.171735863E+00 1.217121197E+00 1.231372663E+00 1.236965084E+00 1.240785267E+00 1.248509927E+00 1.262943980E+00
1.166670514E+01 1.017694648E+00 1.018084145E+00 1.175870379E+00 1.219013624E+00 1.233482292E+00 1.240147362E+00 1.245471881E+00 1.254853340E+00 1.270643420E+00
1.183333839E+01 1.017464985E+00 1.032947786E+00 1.180881766E+00 1.221289793E+00 1.235999125E+00 1.243765509E+00 1.250425156E+00 1.261031412E+00 1.277666665E+00
1.200000000E+01 1.017234116E+00 1.051007089E+00 1.186593034E+00 1.223947591E+00 1.238934658E+00 1.247739754E+00 1.255452930E+00 1.266853193E+00 1.283976235E+00
1.216672606E+01 1.017083947E+00 1.071296615E+00 1.192632791E+00 1.226928590E+00 1.242229262E+00 1.251915126E+00 1.260357042E+00 1.272214057E+00 1.289621785E+00
1.233324570E+01 1.017149059E+00 1.091942457E+00 1.198529942E+00 1.230133255E+00 1.245763196E+00 1.256113671E+00 1.264999201E+00 1.277105061E+00 1.294702570E+00
1.249996187E+01 1.017610001E+00 1.110695124E+00 1.203893184E+00 1.233447789E+00 1.249391408E+00 1.260192868E+00 1.269327962E+00 1.281584726E+00 1.299334963E+00
1.266670514E+01 1.018659287E+00 1.125931852E+00 1.208552977E+00 1.236768480E+00 1.252988349E+00 1.264080276E+00 1.273366032E+00 1.285743493E+00 1.303639867E+00
1.283333839E+01 1.020451699E+00 1.137294400E+00 1.212543784E+00 1.240018733E+00 1.256480852E+00 1.267773880E+00 1.277179432E+00 1.289679104E+00 1.307767264E+00
1.300000000E+01 1.023071474E+00 1.145457079E+00 1.215999574E+00 1.243159883E+00 1.259855585E+00 1.271319496E+00 1.280849848E+00 1.293493257E+00 1.311775096E+00
