N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.220395787E+00 1.215652515E+00 1.209406091E+00 1.196938391E+00 1.172372318E+00 1.126997227E+00 1.052053233E+00 1.023837289E+00 1.025139862E+00 1.028601669E+00 1.034432910E+00
1.600000000E+01 1.277759958E+00 1.276328404E+00 1.275770125E+00 1.276101530E+00 1.276990724E+00 1.278273541E+00 1.279719066E+00 1.280623172E+00 1.280493389E+00 1.278010836E+00 1.271222797E+00
1.700000000E+01 1.362151219E+00 1.359671209E+00 1.357707685E+00 1.356541015E+00 1.356011511E+00 1.356478580E+00 1.357842258E+00 1.360017628E+00 1.363181176E+00 1.366774109E+00 1.370815932E+00
1.549996187E+01 1.248267546E+00 1.247209074E+00 1.246722687E+00 1.246327894E+00 1.245430638E+00 1.242509384E+00 1.235513900E+00 1.220997055E+00 1.193229858E+00 1.144447487E+00 1.067694384E+00
1.649996187E+01 1.316401773E+00 1.314111143E+00 1.312666050E+00 1.312100207E+00 1.312378353E+00 1.313568496E+00 1.315557431E+00 1.317912664E+00 1.320717426E+00 1.323570867E+00 1.326254334E+00
1.674996808E+01 1.338267889E+00 1.335799666E+00 1.334077047E+00 1.333181564E+00 1.333157324E+00 1.333707271E+00 1.335377361E+00 1.337693772E+00 1.340736716E+00 1.344315079E+00 1.347965287E+00
1.624993176E+01 1.296389757E+00 1.294642423E+00 1.293671689E+00 1.293570974E+00 1.294229097E+00 1.295118722E+00 1.297044354E+00 1.299221237E+00 1.301172635E+00 1.302736308E+00 1.301396881E+00
1.574996808E+01 1.262476011E+00 1.261286610E+00 1.261039926E+00 1.261289543E+00 1.262035624E+00 1.262421914E+00 1.261885848E+00 1.258986086E+00 1.252045039E+00 1.237450060E+00 1.209928627E+00
1.524993176E+01 1.234741957E+00 1.233306036E+00 1.231572864E+00 1.228479383E+00 1.221868599E+00 1.208136672E+00 1.180818197E+00 1.132697557E+00 1.055287670E+00 1.020206275E+00 1.021232592E+00
