fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_320 001_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.122432308E-14 1.000000000E+20 1.139609291E+00 5.296853528E-15 2.281815616E-04 
001_320_SRH 001_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.502161568E-14 1.000000000E+20 1.143035482E+00 5.161614944E-15 2.825294264E-04 
002_320 002_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.288584732E-14 1.000000000E+20 1.140551484E+00 7.709944508E-15 2.431072582E-04 
002_320_SRH 002_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.668482401E-14 1.000000000E+20 1.143022514E+00 7.575459575E-15 2.828614566E-04 
003_320 003_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.995821373E-14 1.000000000E+20 1.141386663E+00 1.125296854E-14 2.551822138E-04 
003_320_SRH 003_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.375624076E-14 1.000000000E+20 1.143013406E+00 1.111753718E-14 2.833810483E-04 
004_320 004_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 8.491342347E-14 1.000000000E+20 1.141918702E+00 1.644984653E-14 2.642053551E-04 
004_320_SRH 004_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.871230996E-14 1.000000000E+20 1.143040145E+00 1.631415089E-14 2.841393186E-04 
005_320 005_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.213253092E-13 1.000000000E+20 1.142312722E+00 2.407306383E-14 2.712203547E-04 
005_320_SRH 005_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.151255981E-13 1.000000000E+20 1.143088746E+00 2.393684422E-14 2.852211137E-04 
006_320 006_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.743115750E-13 1.000000000E+20 1.142669083E+00 3.525207909E-14 2.769983620E-04 
006_320_SRH 006_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.681140285E-13 1.000000000E+20 1.143210107E+00 3.511503548E-14 2.868093060E-04 
007_320 007_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.511108452E-13 1.000000000E+20 1.142998483E+00 5.163893632E-14 2.822056929E-04 
007_320_SRH 007_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.449164573E-13 1.000000000E+20 1.143378522E+00 5.150063446E-14 2.890857366E-04 
008_320 008_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.617932506E-13 1.000000000E+20 1.143320707E+00 7.564427367E-14 2.873551359E-04 
008_320_SRH 008_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.556034620E-13 1.000000000E+20 1.143590726E+00 7.550411713E-14 2.922012756E-04 
009_320 009_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.200267713E-13 1.000000000E+20 1.143688733E+00 1.107859080E-13 2.934115263E-04 
009_320_SRH 009_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.138435726E-13 1.000000000E+20 1.143883475E+00 1.106430678E-13 2.968573506E-04 
010_320 010_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.436895707E-13 1.000000000E+20 1.144133626E+00 1.621820480E-13 3.010902361E-04 
010_320_SRH 010_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.375156942E-13 1.000000000E+20 1.144276763E+00 1.620353834E-13 3.035753004E-04 
011_320 011_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.054941765E-12 1.000000000E+20 1.144679274E+00 2.372678968E-13 3.113628782E-04 
011_320_SRH 011_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.048780818E-12 1.000000000E+20 1.144786782E+00 2.371158932E-13 3.131909531E-04 
012_320 012_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.479142488E-12 1.000000000E+20 1.145335599E+00 3.468312253E-13 3.254172048E-04 
012_320_SRH 012_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.472999146E-12 1.000000000E+20 1.145418318E+00 3.466718740E-13 3.267971661E-04 
013_320 013_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.042012319E-12 1.000000000E+20 1.146092723E+00 5.065207028E-13 3.447540747E-04 
013_320_SRH 013_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.035892265E-12 1.000000000E+20 1.146157831E+00 5.063514513E-13 3.458290795E-04 
014_320 014_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.765082811E-12 1.000000000E+20 1.146921018E+00 7.390598506E-13 3.712792766E-04 
014_320_SRH 014_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.758992629E-12 1.000000000E+20 1.146973340E+00 7.388775938E-13 3.721468602E-04 
015_320 015_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.661045735E-12 1.000000000E+20 1.147786849E+00 1.077493622E-12 4.073406238E-04 
015_320_SRH 015_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.655002500E-12 1.000000000E+20 1.147832427E+00 1.077286919E-12 4.080766701E-04 
016_320 016_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.731887178E-12 1.000000000E+20 1.148908490E+00 1.571028944E-12 4.551877847E-04 
016_320_SRH 016_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.725887346E-12 1.000000000E+20 1.148945606E+00 1.570801833E-12 4.558240983E-04 
017_320 017_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.972134044E-12 1.000000000E+20 1.149361472E+00 2.287823484E-12 5.148996310E-04 
017_320_SRH 017_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.966185594E-12 1.000000000E+20 1.149391900E+00 2.287570454E-12 5.154678924E-04 
018_320 018_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.383758770E-12 1.000000000E+20 1.150130248E+00 3.333689832E-12 5.955564547E-04 
018_320_SRH 018_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.377867815E-12 1.000000000E+20 1.150155267E+00 3.333405829E-12 5.960786447E-04 
019_320 019_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 8.978367669E-12 1.000000000E+20 1.150908361E+00 4.859986428E-12 6.958080197E-04 
019_320_SRH 019_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 8.972541804E-12 1.000000000E+20 1.150929006E+00 4.859664970E-12 6.962964550E-04 
