fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_320 001_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.103137310E-14 1.000000000E+20 1.179273917E+00 1.628473563E-15 1.993487209E-04 
001_320_SRH 001_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.640564787E-15 1.000000000E+20 1.195821210E+00 1.512176271E-15 4.801731323E-04 
002_320 002_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.318835593E-14 1.000000000E+20 1.184248050E+00 2.334438146E-15 2.474103423E-04 
002_320_SRH 002_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 6.797407361E-15 1.000000000E+20 1.195848274E+00 2.219331960E-15 4.811861230E-04 
003_320 003_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.633768815E-14 1.000000000E+20 1.187823967E+00 3.371288139E-15 2.947295599E-04 
003_320_SRH 003_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 9.947225936E-15 1.000000000E+20 1.195887599E+00 3.257022146E-15 4.826719861E-04 
004_320 004_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.092574976E-14 1.000000000E+20 1.190373411E+00 4.893220291E-15 3.384680839E-04 
004_320_SRH 004_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.453646246E-14 1.000000000E+20 1.195945282E+00 4.779559037E-15 4.848460690E-04 
005_320 005_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.758760739E-14 1.000000000E+20 1.192194247E+00 7.126312946E-15 3.769812756E-04 
005_320_SRH 005_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.120033991E-14 1.000000000E+20 1.196028670E+00 7.013105256E-15 4.880266738E-04 
006_320 006_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.721385315E-14 1.000000000E+20 1.193517261E+00 1.040175257E-14 4.100542619E-04 
006_320_SRH 006_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.082970843E-14 1.000000000E+20 1.196148803E+00 1.028891044E-14 4.926727195E-04 
007_320 007_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.102723038E-14 1.000000000E+20 1.194517675E+00 1.520425290E-14 4.387001604E-04 
007_320_SRH 007_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.464768984E-14 1.000000000E+20 1.196320628E+00 1.509173971E-14 4.994432835E-04 
008_320 008_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 7.065521241E-14 1.000000000E+20 1.195329665E+00 2.224245010E-14 4.647963928E-04 
008_320_SRH 008_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 6.428226447E-14 1.000000000E+20 1.196563733E+00 2.213027213E-14 5.092777338E-04 
009_320 009_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 9.816758813E-14 1.000000000E+20 1.196057498E+00 3.255107240E-14 4.907664168E-04 
009_320_SRH 009_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 9.180385383E-14 1.000000000E+20 1.196901910E+00 3.243927297E-14 5.235013602E-04 
010_320 010_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.360246845E-13 1.000000000E+20 1.196763435E+00 4.764229391E-14 5.197931599E-04 
010_320_SRH 010_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.296734896E-13 1.000000000E+20 1.197341173E+00 4.753094469E-14 5.441658962E-04 
011_320 011_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.868793306E-13 1.000000000E+20 1.197553582E+00 6.970965182E-14 5.547764124E-04 
011_320_SRH 011_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.805446395E-13 1.000000000E+20 1.197949177E+00 6.959886681E-14 5.732919918E-04 
012_320 012_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.531788397E-13 1.000000000E+20 1.198449954E+00 1.019579689E-13 5.998458609E-04 
012_320_SRH 012_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 2.468649944E-13 1.000000000E+20 1.198721020E+00 1.018478736E-13 6.143176463E-04 
013_320 013_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.367930520E-13 1.000000000E+20 1.200351844E+00 1.493064185E-13 6.567332826E-04 
013_320_SRH 013_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 3.305887877E-13 1.000000000E+20 1.201182925E+00 1.493813314E-13 6.670219942E-04 
014_320 014_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.388177902E-13 1.000000000E+20 1.204563763E+00 2.195798756E-13 7.350636966E-04 
014_320_SRH 014_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 4.325566148E-13 1.000000000E+20 1.204695675E+00 2.194739170E-13 7.447954110E-04 
015_320 015_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.582659994E-13 1.000000000E+20 1.206117726E+00 3.212023306E-13 8.388469074E-04 
015_320_SRH 015_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 5.520343107E-13 1.000000000E+20 1.206206149E+00 3.210960777E-13 8.473567094E-04 
016_320 016_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 6.953751528E-13 1.000000000E+20 1.207240341E+00 4.694117617E-13 9.708161634E-04 
016_320_SRH 016_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 6.891735275E-13 1.000000000E+20 1.207301059E+00 4.693064542E-13 9.785023675E-04 
017_320 017_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 8.569726279E-13 1.000000000E+20 1.213439928E+00 6.828455423E-13 1.110534324E-03 
017_320_SRH 017_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 8.507990951E-13 1.000000000E+20 1.213484273E+00 6.827425607E-13 1.117376366E-03 
018_320 018_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.035839172E-12 1.000000000E+20 1.214390971E+00 9.987873829E-13 1.307104401E-03 
018_320_SRH 018_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.029690959E-12 1.000000000E+20 1.214421416E+00 9.986851587E-13 1.313531212E-03 
019_320 019_320.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.247070821E-12 1.000000000E+20 1.220598411E+00 1.464660799E-12 1.535029805E-03 
019_320_SRH 019_320_srh.dat 320 36.23 1.000000000E+00 0.000000000E+00 1.241402302E-12 1.000000000E+20 1.220975694E+00 1.464750146E-12 1.540705214E-03 
