N_Fe N_B T n_FeB n_FeB_SRH
1.000000E+10 5.623e+16 310 1.131585179E+00 1.147759323E+00
1.468000E+10 5.623e+16 310 1.136600438E+00 1.148062662E+00
2.154000E+10 5.623e+16 310 1.140448141E+00 1.148493715E+00
3.162000E+10 5.623e+16 310 1.143485807E+00 1.149098664E+00
4.642000E+10 5.623e+16 310 1.146029595E+00 1.149932266E+00
6.813000E+10 5.623e+16 310 1.148340270E+00 1.151050633E+00
1.000000E+11 5.623e+16 310 1.150616184E+00 1.152499202E+00
1.468000E+11 5.623e+16 310 1.152986349E+00 1.154296405E+00
2.154000E+11 5.623e+16 310 1.155499255E+00 1.156411935E+00
3.162000E+11 5.623e+16 310 1.159197254E+00 1.159833677E+00
4.642000E+11 5.623e+16 310 1.161940874E+00 1.162385705E+00
6.813000E+11 5.623e+16 310 1.163887894E+00 1.164197796E+00
1.000000E+12 5.623e+16 310 1.166480746E+00 1.166696285E+00
1.468000E+12 5.623e+16 310 1.168111671E+00 1.168759556E+00
2.154000E+12 5.623e+16 310 1.169558957E+00 1.170099056E+00
3.162000E+12 5.623e+16 310 1.171224104E+00 1.171648460E+00
4.642000E+12 5.623e+16 310 1.1726137E+00 1.1731443E+00
6.813000E+12 5.623e+16 310 1.17400618E+00 1.17491297E+00
1.000000E+13 5.623e+16 310 1.1758338E+00 1.17668164E+00
