fname time Tem kT_1 n0 Eefo E_B E_T Nb dev 
B176FE100_T 1317817142 0 555 6.127429746E-04 7.343663137E+00 7.191910279E-01 2.353608615E-02 1.778000000E+16 3.976544203E-04 
B176FE101_T 1317817142 0 555 6.154993808E-04 8.000000000E+00 6.430748578E-01 1.693843792E-02 1.778000000E+16 4.927888104E-04 
B176FE102_T 1317817142 0 555 6.320301507E-04 4.523795489E+00 8.642721816E-01 8.393320459E-02 1.778000000E+16 4.219561795E-04 
B176FE103_T 1317817142 0 555 6.844843811E-04 6.496460302E+00 4.770786649E-01 5.100120732E-02 1.778000000E+16 1.088198414E-03 
B176FE140_T 1317817142 0 555 6.128867774E-04 7.410742032E+00 8.277507748E-01 3.002041913E-02 1.778000000E+16 4.017168952E-04 
B176FE141_T 1317817142 0 555 6.166981842E-04 8.000000000E+00 4.899304093E-01 7.523214797E-03 1.778000000E+16 5.206564466E-04 
B176FE142_T 1317817142 0 555 6.387877118E-04 6.049791023E+00 8.583598536E-01 9.653161800E-02 1.778000000E+16 6.135270355E-04 
B176FE210_T 1317817142 0 555 6.130975563E-04 7.517930391E+00 8.927647541E-01 3.370732402E-02 1.778000000E+16 4.079220616E-04 
B176FE211_T 1317817142 0 555 6.180074519E-04 8.000000000E+00 7.726246901E-01 2.492408341E-02 1.778000000E+16 5.368401109E-04 
B176FE212_T 1317817142 0 555 6.436829706E-04 2.186228440E+00 6.629380470E-01 8.917990132E-02 1.778000000E+16 7.329928105E-04 
B176FE310_T 1317817142 0 555 6.134055911E-04 7.689353619E+00 8.216204499E-01 2.882689865E-02 1.778000000E+16 4.174413064E-04 
B176FE311_T 1317817142 0 555 6.196919517E-04 8.000000000E+00 7.415530824E-01 2.301797560E-02 1.778000000E+16 5.699434943E-04 
B176FE312_T 1317817142 0 555 6.543153055E-04 5.321764196E+00 1.557752935E-01 7.750175136E-02 1.778000000E+16 6.772428423E-04 
B176FE460_T 1317817142 0 555 6.138543404E-04 7.967580440E+00 8.530999147E-01 2.994855632E-02 1.778000000E+16 4.322390973E-04 
B176FE461_T 1317817142 0 555 6.218476245E-04 8.000000000E+00 9.645460909E-01 3.675618585E-02 1.778000000E+16 6.279239399E-04 
B176FE462_T 1317817142 0 555 6.599613493E-04 6.405379204E+00 7.322933773E-01 3.774403854E-02 1.778000000E+16 7.906200155E-04 
B176FE680_T 1317817142 0 555 6.145264513E-04 8.000000000E+00 5.544589881E-01 1.147924755E-02 1.778000000E+16 4.555961900E-04 
B176FE681_T 1317817142 0 555 6.246684227E-04 8.000000000E+00 9.189135994E-01 3.402916714E-02 1.778000000E+16 5.910553958E-04 
B176FE682_T 1317817142 0 555 6.729856274E-04 2.997986053E+00 4.730146499E-01 7.685844440E-02 1.778000000E+16 6.485620522E-04 
