N_b T n_Fe n_Fecalk
1.000000000E+01 290 1.200510170E+00 1.210890086E+0
1.000000000E+01 295 1.209611822E+00 1.214526122E+0
1.000000000E+01 300 1.207913109E+00 1.218162158E+0
1.000000000E+01 305 1.216783220E+00 1.221798194E+0
1.000000000E+01 310 1.215336774E+00 1.225434230E+0
1.000000000E+01 315 1.218392723E+00 1.229070266E+0
1.000000000E+01 320 1.226679164E+00 1.232706302E+0
1.000000000E+01 325 1.229946191E+00 1.236342338E+0
1.000000000E+01 330 1.237208407E+00 1.239978374E+0
1.000000000E+01 335 1.243768499E+00 1.243614410E+0
1.000000000E+01 340 1.244179320E+00 1.247250446E+0
1.016672606E+01 290 1.200513313E+00 1.210890086E+0
1.016672606E+01 295 1.209615867E+00 1.214526122E+0
1.016672606E+01 300 1.207918144E+00 1.218162158E+0
1.016672606E+01 305 1.216790168E+00 1.221798194E+0
1.016672606E+01 310 1.215345664E+00 1.225434230E+0
1.016672606E+01 315 1.218404209E+00 1.229070266E+0
1.016672606E+01 320 1.226739363E+00 1.232706302E+0
1.016672606E+01 325 1.229966566E+00 1.236342338E+0
1.016672606E+01 330 1.237235564E+00 1.239978374E+0
1.016672606E+01 335 1.243804625E+00 1.243614410E+0
1.016672606E+01 340 1.244247012E+00 1.247250446E+0
1.033324570E+01 290 1.200517431E+00 1.210890086E+0
1.033324570E+01 295 1.209621485E+00 1.214526122E+0
1.033324570E+01 300 1.207925319E+00 1.218162158E+0
1.033324570E+01 305 1.216800216E+00 1.221798194E+0
1.033324570E+01 310 1.215358487E+00 1.225434230E+0
1.033324570E+01 315 1.218420958E+00 1.229070266E+0
1.033324570E+01 320 1.226762122E+00 1.232706302E+0
1.033324570E+01 325 1.229996484E+00 1.236342338E+0
1.033324570E+01 330 1.237275518E+00 1.239978374E+0
1.033324570E+01 335 1.243856984E+00 1.243614410E+0
1.033324570E+01 340 1.244346210E+00 1.247250446E+0
1.049996187E+01 290 1.200523107E+00 1.210890086E+0
1.049996187E+01 295 1.209629482E+00 1.214526122E+0
1.049996187E+01 300 1.207935651E+00 1.218162158E+0
1.049996187E+01 305 1.216814772E+00 1.221798194E+0
1.049996187E+01 310 1.215377154E+00 1.225434230E+0
1.049996187E+01 315 1.218445165E+00 1.229070266E+0
1.049996187E+01 320 1.226795333E+00 1.232706302E+0
1.049996187E+01 325 1.230039864E+00 1.236342338E+0
1.049996187E+01 330 1.237333463E+00 1.239978374E+0
1.049996187E+01 335 1.243933209E+00 1.243614410E+0
1.049996187E+01 340 1.244491517E+00 1.247250446E+0
1.066670514E+01 290 1.200531131E+00 1.210890086E+0
1.066670514E+01 295 1.209640955E+00 1.214526122E+0
1.066670514E+01 300 1.207950566E+00 1.218162158E+0
1.066670514E+01 305 1.216835834E+00 1.221798194E+0
1.066670514E+01 310 1.215404197E+00 1.225434230E+0
1.066670514E+01 315 1.218480396E+00 1.229070266E+0
1.066670514E+01 320 1.226843533E+00 1.232706302E+0
1.066670514E+01 325 1.230102715E+00 1.236342338E+0
1.066670514E+01 330 1.237417225E+00 1.239978374E+0
1.066670514E+01 335 1.244043804E+00 1.243614410E+0
1.066670514E+01 340 1.244704151E+00 1.247250446E+0
1.083333839E+01 290 1.200542576E+00 1.210890086E+0
1.083333839E+01 295 1.209657449E+00 1.214526122E+0
1.083333839E+01 300 1.207972039E+00 1.218162158E+0
1.083333839E+01 305 1.216866225E+00 1.221798194E+0
1.083333839E+01 310 1.215443092E+00 1.225434230E+0
1.083333839E+01 315 1.218531212E+00 1.229070266E+0
1.083333839E+01 320 1.226912980E+00 1.232706302E+0
1.083333839E+01 325 1.230193375E+00 1.236342338E+0
1.083333839E+01 330 1.237538195E+00 1.239978374E+0
1.083333839E+01 335 1.244202917E+00 1.243614410E+0
1.083333839E+01 340 1.245014845E+00 1.247250446E+0
1.100000000E+01 290 1.200558916E+00 1.210890086E+0
1.100000000E+01 295 1.209681050E+00 1.214526122E+0
1.100000000E+01 300 1.208002789E+00 1.218162158E+0
1.100000000E+01 305 1.216909714E+00 1.221798194E+0
1.100000000E+01 310 1.215596531E+00 1.225434230E+0
1.100000000E+01 315 1.218603669E+00 1.229070266E+0
1.100000000E+01 320 1.227012309E+00 1.232706302E+0
1.100000000E+01 325 1.230322802E+00 1.236342338E+0
1.100000000E+01 330 1.237710914E+00 1.239978374E+0
1.100000000E+01 335 1.244430313E+00 1.243614410E+0
1.100000000E+01 340 1.245467885E+00 1.247250446E+0
1.116672606E+01 290 1.200582065E+00 1.210890086E+0
1.116672606E+01 295 1.209714532E+00 1.214526122E+0
1.116672606E+01 300 1.208046405E+00 1.218162158E+0
1.116672606E+01 305 1.216971331E+00 1.221798194E+0
1.116672606E+01 310 1.217089256E+00 1.225434230E+0
1.116672606E+01 315 1.218706520E+00 1.229070266E+0
1.116672606E+01 320 1.227152706E+00 1.232706302E+0
1.116672606E+01 325 1.230505735E+00 1.236342338E+0
1.116672606E+01 330 1.237954700E+00 1.239978374E+0
1.116672606E+01 335 1.244751112E+00 1.243614410E+0
1.116672606E+01 340 1.246126530E+00 1.247250446E+0
1.133324570E+01 290 1.200614473E+00 1.210890086E+0
1.133324570E+01 295 1.209761365E+00 1.214526122E+0
1.133324570E+01 300 1.208107337E+00 1.218162158E+0
1.133324570E+01 305 1.217057402E+00 1.221798194E+0
1.133324570E+01 310 1.219245339E+00 1.225434230E+0
1.133324570E+01 315 1.218849584E+00 1.229070266E+0
1.133324570E+01 320 1.227348062E+00 1.232706302E+0
1.133324570E+01 325 1.230760057E+00 1.236342338E+0
1.133324570E+01 330 1.238293389E+00 1.239978374E+0
1.133324570E+01 335 1.245196127E+00 1.243614410E+0
1.133324570E+01 340 1.247079976E+00 1.247250446E+0
1.149996187E+01 290 1.200658986E+00 1.210890086E+0
1.149996187E+01 295 1.209825601E+00 1.214526122E+0
1.149996187E+01 300 1.208190780E+00 1.218162158E+0
1.149996187E+01 305 1.217174983E+00 1.221798194E+0
1.149996187E+01 310 1.222337547E+00 1.225434230E+0
1.149996187E+01 315 1.220138398E+00 1.229070266E+0
1.149996187E+01 320 1.227613743E+00 1.232706302E+0
1.149996187E+01 325 1.231105478E+00 1.236342338E+0
1.149996187E+01 330 1.238752657E+00 1.239978374E+0
1.149996187E+01 335 1.245799170E+00 1.243614410E+0
1.149996187E+01 340 1.248451768E+00 1.247250446E+0
1.166670514E+01 290 1.200718539E+00 1.210890086E+0
1.166670514E+01 295 1.209911357E+00 1.214526122E+0
1.166670514E+01 300 1.208301942E+00 1.218162158E+0
1.166670514E+01 305 1.217331276E+00 1.221798194E+0
1.166670514E+01 310 1.226269417E+00 1.225434230E+0
1.166670514E+01 315 1.223046344E+00 1.229070266E+0
