B T nFsrh nFBsrh dnsrh nF nFB dn
1.700000000E+01 290 1.225056135E+00 1.217951080E+0 7.105055000E-03 1.225056135E+00 1.217951080E+0 7.105055000E-03
1.700000000E+01 295 1.221897774E+00 1.221708857E+0 1.889170000E-04 1.221897774E+00 1.221708857E+0 1.889170000E-04
1.700000000E+01 300 1.220149982E+00 1.225466635E+0 -5.316653000E-03 1.220149982E+00 1.225466635E+0 -5.316653000E-03
1.700000000E+01 305 1.229564660E+00 1.229224412E+0 3.402480000E-04 1.229564660E+00 1.229224412E+0 3.402480000E-04
1.700000000E+01 310 1.228213680E+00 1.232982189E+0 -4.768509000E-03 1.228213680E+00 1.232982189E+0 -4.768509000E-03
1.700000000E+01 315 1.237581464E+00 1.236739966E+0 8.414980000E-04 1.237581464E+00 1.236739966E+0 8.414980000E-04
1.700000000E+01 320 1.241534267E+00 1.240497744E+0 1.036523000E-03 1.241534267E+00 1.240497744E+0 1.036523000E-03
1.700000000E+01 325 1.240100925E+00 1.244255521E+0 -4.154596000E-03 1.240100925E+00 1.244255521E+0 -4.154596000E-03
1.700000000E+01 330 1.249263245E+00 1.248013298E+0 1.249947000E-03 1.249263245E+00 1.248013298E+0 1.249947000E-03
1.700000000E+01 335 1.253428693E+00 1.251771075E+0 1.657618000E-03 1.253428693E+00 1.251771075E+0 1.657618000E-03
1.700000000E+01 340 1.261474630E+00 1.255528853E+0 5.945777000E-03 1.261474630E+00 1.255528853E+0 5.945777000E-03
