T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
340 001_340 34.101 5.234930E-1 3.679287E+1 7.908350E+1 1.523210E+1 4.411020E-1 3.453195E+1 1.000000E+2 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 3.800E-4 5.623E+16
340 002_340 34.101 5.230820E-1 3.665520E+1 7.907250E+1 1.516110E+1 4.406970E-1 3.440260E+1 1.000000E+2 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 3.800E-4 5.623E+16
340 003_340 34.101 5.225220E-1 3.646780E+1 7.905740E+1 1.506460E+1 4.401520E-1 3.422586E+1 1.000000E+2 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 3.800E-4 5.623E+16
340 004_340 34.101 5.217780E-1 3.621976E+1 7.903710E+1 1.493700E+1 4.394420E-1 3.399074E+1 1.000000E+2 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 3.800E-4 5.623E+16
340 005_340 34.101 5.208180E-1 3.590265E+1 7.901050E+1 1.477400E+1 4.385510E-1 3.368815E+1 1.000000E+2 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 3.800E-4 5.623E+16
340 006_340 34.101 5.196050E-1 3.551327E+1 7.897930E+1 1.457400E+1 4.374800E-1 3.331342E+1 1.000000E+2 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 3.800E-4 5.623E+16
340 007_340 34.101 5.181080E-1 3.505509E+1 7.894580E+1 1.433840E+1 4.362450E-1 3.286778E+1 1.000000E+2 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 3.800E-4 5.623E+16
340 008_340 34.101 5.163740E-1 3.453713E+1 7.886950E+1 1.406560E+1 4.348180E-1 3.234830E+1 1.000000E+2 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 3.800E-4 5.623E+16
340 009_340 34.101 5.144070E-1 3.397003E+1 7.881380E+1 1.377230E+1 4.327020E-1 3.182851E+1 1.000000E+2 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 3.800E-4 5.623E+16
340 010_340 34.101 5.122030E-1 3.336183E+1 7.875040E+1 1.345690E+1 4.304710E-1 3.126085E+1 1.000000E+2 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 3.800E-4 5.623E+16
340 011_340 34.101 5.097300E-1 3.271602E+1 7.867940E+1 1.312080E+1 4.281560E-1 3.064497E+1 1.000000E+2 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 3.800E-4 5.623E+16
340 012_340 34.101 5.068870E-1 3.203256E+1 7.860950E+1 1.276370E+1 4.257910E-1 2.997654E+1 1.000000E+2 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 3.800E-4 5.623E+16
340 013_340 34.101 5.037810E-1 3.130994E+1 7.848460E+1 1.237970E+1 4.227220E-1 2.928557E+1 1.000000E+2 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 3.800E-4 5.623E+16
340 014_340 34.101 5.003940E-1 3.054663E+1 7.838010E+1 1.198070E+1 4.193490E-1 2.856973E+1 1.000000E+2 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 3.800E-4 5.623E+16
340 015_340 34.101 4.965780E-1 2.974167E+1 7.828020E+1 1.156120E+1 4.160740E-1 2.778654E+1 1.000000E+2 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 3.800E-4 5.623E+16
340 016_340 34.101 4.924950E-1 2.889482E+1 7.811740E+1 1.111650E+1 4.120630E-1 2.697777E+1 1.000000E+2 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 3.800E-4 5.623E+16
340 017_340 34.101 4.880600E-1 2.800663E+1 7.798620E+1 1.065990E+1 4.078760E-1 2.613510E+1 1.000000E+2 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 3.800E-4 5.623E+16
340 018_340 34.101 4.832960E-1 2.707859E+1 7.780220E+1 1.018200E+1 4.036080E-1 2.522735E+1 1.000000E+2 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 3.800E-4 5.623E+16
340 019_340 34.101 4.782350E-1 2.611314E+1 7.764040E+1 9.695900E+0 3.986280E-1 2.432317E+1 1.000000E+2 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 3.800E-4 5.623E+16
340 020_340 34.101 4.728590E-1 2.511380E+1 7.742800E+1 9.194800E+0 3.938640E-1 2.334513E+1 1.000000E+2 1.468000E+13 1.468000E+13 1.468000E+13 1.468000E+13 3.800E-4 5.623E+16
340 021_340 34.101 4.671940E-1 2.408509E+1 7.723970E+1 8.691300E+0 3.883220E-1 2.238177E+1 1.000000E+2 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 3.800E-4 5.623E+16
340 022_340 34.101 4.613020E-1 2.303251E+1 7.698820E+1 8.180000E+0 3.829200E-1 2.136205E+1 1.000000E+2 3.162000E+13 3.162000E+13 3.162000E+13 3.162000E+13 3.800E-4 5.623E+16
340 023_340 34.101 4.550900E-1 2.196248E+1 7.677450E+1 7.673500E+0 3.771040E-1 2.034865E+1 1.000000E+2 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 3.800E-4 5.623E+16
340 024_340 34.101 4.487140E-1 2.088217E+1 7.648680E+1 7.166900E+0 3.710140E-1 1.931705E+1 1.000000E+2 6.813000E+13 6.813000E+13 6.813000E+13 6.813000E+13 3.800E-4 5.623E+16
340 025_340 34.101 4.420870E-1 1.979938E+1 7.623030E+1 6.672500E+0 3.652050E-1 1.827051E+1 1.000000E+2 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 3.800E-4 5.623E+16
