T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
330 001_330 35.134 4.031060E-1 2.893693E-1 7.540400E+1 2.198900E+1 3.296550E-1 2.668131E-1 4.000000E-1 1.000000E+10 1.000000E+10 1.800E-4 1.778E+15
330 002_330 35.134 4.020920E-1 2.889777E-1 7.530030E+1 2.187390E+1 3.284960E-1 2.663526E-1 4.000000E-1 1.468000E+10 1.468000E+10 1.800E-4 1.778E+15
330 003_330 35.134 4.006390E-1 2.884065E-1 7.516260E+1 2.171200E+1 3.269600E-1 2.656225E-1 4.000000E-1 2.154000E+10 2.154000E+10 1.800E-4 1.778E+15
330 004_330 35.134 3.985210E-1 2.875757E-1 7.499600E+1 2.148720E+1 3.250060E-1 2.644544E-1 4.000000E-1 3.162000E+10 3.162000E+10 1.800E-4 1.778E+15
330 005_330 35.134 3.955800E-1 2.863721E-1 7.475170E+1 2.117020E+1 3.215920E-1 2.633180E-1 4.000000E-1 4.642000E+10 4.642000E+10 1.800E-4 1.778E+15
330 006_330 35.134 3.916560E-1 2.846388E-1 7.452830E+1 2.077110E+1 3.177150E-1 2.615068E-1 4.000000E-1 6.813000E+10 6.813000E+10 1.800E-4 1.778E+15
330 007_330 35.134 3.864880E-1 2.821641E-1 7.425140E+1 2.024330E+1 3.129910E-1 2.587085E-1 4.000000E-1 1.000000E+11 1.000000E+11 1.800E-4 1.778E+15
330 008_330 35.134 3.801630E-1 2.786735E-1 7.401320E+1 1.960260E+1 3.071730E-1 2.552647E-1 4.000000E-1 1.468000E+11 1.468000E+11 1.800E-4 1.778E+15
330 009_330 35.134 3.726800E-1 2.738330E-1 7.372410E+1 1.880920E+1 3.004670E-1 2.503998E-1 4.000000E-1 2.154000E+11 2.154000E+11 1.800E-4 1.778E+15
330 010_330 35.134 3.643830E-1 2.672752E-1 7.341240E+1 1.787420E+1 2.934330E-1 2.436566E-1 4.000000E-1 3.162000E+11 3.162000E+11 1.800E-4 1.778E+15
330 011_330 35.134 3.555700E-1 2.586623E-1 7.311650E+1 1.681170E+1 2.857760E-1 2.353146E-1 4.000000E-1 4.642000E+11 4.642000E+11 1.800E-4 1.778E+15
330 012_330 35.134 3.465130E-1 2.477905E-1 7.271950E+1 1.560970E+1 2.775380E-1 2.249743E-1 4.000000E-1 6.813000E+11 6.813000E+11 1.800E-4 1.778E+15
330 013_330 35.134 3.374280E-1 2.347109E-1 7.227390E+1 1.430980E+1 2.693420E-1 2.125158E-1 4.000000E-1 1.000000E+12 1.000000E+12 1.800E-4 1.778E+15
330 014_330 35.134 3.284690E-1 2.198038E-1 7.178750E+1 1.295740E+1 2.613330E-1 1.983278E-1 4.000000E-1 1.468000E+12 1.468000E+12 1.800E-4 1.778E+15
330 015_330 35.134 3.197180E-1 2.037287E-1 7.126920E+1 1.160540E+1 2.536330E-1 1.830273E-1 4.000000E-1 2.154000E+12 2.154000E+12 1.800E-4 1.778E+15
330 016_330 35.134 3.111210E-1 1.872369E-1 7.079580E+1 1.031020E+1 2.458980E-1 1.677155E-1 4.000000E-1 3.162000E+12 3.162000E+12 1.800E-4 1.778E+15
330 017_330 35.134 3.026410E-1 1.709438E-1 7.022950E+1 9.083200E+0 2.379890E-1 1.526663E-1 4.000000E-1 4.642000E+12 4.642000E+12 1.800E-4 1.778E+15
330 018_330 35.134 2.941800E-1 1.552007E-1 6.962080E+1 7.946700E+0 2.302810E-1 1.380344E-1 4.000000E-1 6.813000E+12 6.813000E+12 1.800E-4 1.778E+15
330 019_330 35.134 2.856140E-1 1.401300E-1 6.896290E+1 6.900300E+0 2.226700E-1 1.239554E-1 4.000000E-1 1.000000E+13 1.000000E+13 1.800E-4 1.778E+15
330 020_330 35.134 2.768300E-1 1.257462E-1 6.831560E+1 5.945200E+0 2.150150E-1 1.106009E-1 4.000000E-1 1.468000E+13 1.468000E+13 1.800E-4 1.778E+15
330 021_330 35.134 2.677380E-1 1.120803E-1 6.752180E+1 5.065500E+0 2.065010E-1 9.812064E-2 4.000000E-1 2.154000E+13 2.154000E+13 1.800E-4 1.778E+15
330 022_330 35.134 2.582720E-1 9.921027E-2 6.663300E+1 4.268400E+0 1.977780E-1 8.632658E-2 4.000000E-1 3.162000E+13 3.162000E+13 1.800E-4 1.778E+15
330 023_330 35.134 2.483720E-1 8.723995E-2 6.563730E+1 3.555600E+0 1.887570E-1 7.534712E-2 4.000000E-1 4.642000E+13 4.642000E+13 1.800E-4 1.778E+15
330 024_330 35.134 2.379690E-1 7.625867E-2 6.451890E+1 2.927100E+0 1.793410E-1 6.528545E-2 4.000000E-1 6.813000E+13 6.813000E+13 1.800E-4 1.778E+15
330 025_330 35.134 2.269790E-1 6.632866E-2 6.325620E+1 2.380800E+0 1.694410E-1 5.620472E-2 4.000000E-1 1.000000E+14 1.000000E+14 1.800E-4 1.778E+15
