T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
325 001_325 35.674 5.534220E-1 3.762776E+1 8.022280E+1 1.670560E+1 4.700360E-1 3.554113E+1 1.000000E+2 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 2.800E-4 5.623E+15
325 002_325 35.674 5.528490E-1 3.760078E+1 8.021020E+1 1.667370E+1 4.694950E-1 3.551422E+1 1.000000E+2 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 2.800E-4 5.623E+15
325 003_325 35.674 5.520360E-1 3.756166E+1 8.019220E+1 1.662820E+1 4.687440E-1 3.547387E+1 1.000000E+2 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 2.800E-4 5.623E+15
325 004_325 35.674 5.509000E-1 3.750524E+1 8.016650E+1 1.656370E+1 4.677280E-1 3.541312E+1 1.000000E+2 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 2.800E-4 5.623E+15
325 005_325 35.674 5.493170E-1 3.742450E+1 8.013350E+1 1.647380E+1 4.663960E-1 3.532145E+1 1.000000E+2 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 2.800E-4 5.623E+15
325 006_325 35.674 5.471700E-1 3.731022E+1 8.005820E+1 1.634390E+1 4.645950E-1 3.517883E+1 1.000000E+2 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 2.800E-4 5.623E+15
325 007_325 35.674 5.444170E-1 3.715098E+1 7.999630E+1 1.617980E+1 4.617020E-1 3.504372E+1 1.000000E+2 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 2.800E-4 5.623E+15
325 008_325 35.674 5.410170E-1 3.693376E+1 7.991770E+1 1.596900E+1 4.584530E-1 3.483232E+1 1.000000E+2 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 2.800E-4 5.623E+15
325 009_325 35.674 5.368820E-1 3.664569E+1 7.982960E+1 1.570600E+1 4.550400E-1 3.451562E+1 1.000000E+2 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 2.800E-4 5.623E+15
325 010_325 35.674 5.322260E-1 3.627718E+1 7.968250E+1 1.538480E+1 4.502170E-1 3.417198E+1 1.000000E+2 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 2.800E-4 5.623E+15
325 011_325 35.674 5.271300E-1 3.582570E+1 7.956400E+1 1.502550E+1 4.457640E-1 3.370726E+1 1.000000E+2 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 2.800E-4 5.623E+15
325 012_325 35.674 5.218530E-1 3.529848E+1 7.938880E+1 1.462390E+1 4.404790E-1 3.320006E+1 1.000000E+2 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 2.800E-4 5.623E+15
325 013_325 35.674 5.164800E-1 3.471158E+1 7.925190E+1 1.420810E+1 4.357440E-1 3.260660E+1 1.000000E+2 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 2.800E-4 5.623E+15
325 014_325 35.674 5.112020E-1 3.408427E+1 7.905870E+1 1.377510E+1 4.304110E-1 3.200462E+1 1.000000E+2 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 2.800E-4 5.623E+15
325 015_325 35.674 5.059110E-1 3.343167E+1 7.891020E+1 1.334640E+1 4.257390E-1 3.134892E+1 1.000000E+2 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 2.800E-4 5.623E+15
325 016_325 35.674 5.007010E-1 3.276003E+1 7.870170E+1 1.290940E+1 4.204410E-1 3.070451E+1 1.000000E+2 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 2.800E-4 5.623E+15
325 017_325 35.674 4.953540E-1 3.206736E+1 7.853970E+1 1.247580E+1 4.157160E-1 3.001035E+1 1.000000E+2 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 2.800E-4 5.623E+15
325 018_325 35.674 4.899860E-1 3.134766E+1 7.831270E+1 1.202880E+1 4.102610E-1 2.931983E+1 1.000000E+2 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 2.800E-4 5.623E+15
325 019_325 35.674 4.843900E-1 3.059524E+1 7.813300E+1 1.157930E+1 4.053880E-1 2.856362E+1 1.000000E+2 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 2.800E-4 5.623E+15
325 020_325 35.674 4.787170E-1 2.980667E+1 7.789030E+1 1.111410E+1 3.996280E-1 2.781124E+1 1.000000E+2 1.468000E+13 1.468000E+13 1.468000E+13 1.468000E+13 2.800E-4 5.623E+15
325 021_325 35.674 4.728730E-1 2.898076E+1 7.764260E+1 1.064030E+1 3.945160E-1 2.697057E+1 1.000000E+2 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 2.800E-4 5.623E+15
325 022_325 35.674 4.668910E-1 2.811795E+1 7.741760E+1 1.016340E+1 3.885360E-1 2.615817E+1 1.000000E+2 3.162000E+13 3.162000E+13 3.162000E+13 3.162000E+13 2.800E-4 5.623E+15
325 023_325 35.674 4.608200E-1 2.721988E+1 7.712750E+1 9.674500E+0 3.829520E-1 2.526285E+1 1.000000E+2 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 2.800E-4 5.623E+15
325 024_325 35.674 4.545470E-1 2.628926E+1 7.687430E+1 9.186200E+0 3.770440E-1 2.436386E+1 1.000000E+2 6.813000E+13 6.813000E+13 6.813000E+13 6.813000E+13 2.800E-4 5.623E+15
325 025_325 35.674 4.481910E-1 2.532983E+1 7.654260E+1 8.689600E+0 3.709370E-1 2.342602E+1 1.000000E+2 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 2.800E-4 5.623E+15
