N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.000E+17 305 3.300E-4 3.561324E+1 1.750970E+1 5.966510E-1 8.240370E+1
1.468000E+10 1.000E+17 305 3.300E-4 3.538572E+1 1.738420E+1 5.962410E-1 8.239590E+1
2.154000E+10 1.000E+17 305 3.300E-4 3.508990E+1 1.722110E+1 5.957020E-1 8.238510E+1
3.162000E+10 1.000E+17 305 3.300E-4 3.471928E+1 1.701650E+1 5.950150E-1 8.237050E+1
4.642000E+10 1.000E+17 305 3.300E-4 3.427338E+1 1.676320E+1 5.941680E-1 8.231710E+1
6.813000E+10 1.000E+17 305 3.300E-4 3.375789E+1 1.647810E+1 5.931540E-1 8.229330E+1
1.000000E+11 1.000E+17 305 3.300E-4 3.318201E+1 1.615920E+1 5.919700E-1 8.226550E+1
1.468000E+11 1.000E+17 305 3.300E-4 3.255450E+1 1.581100E+1 5.906090E-1 8.223330E+1
2.154000E+11 1.000E+17 305 3.300E-4 3.188104E+1 1.543620E+1 5.890020E-1 8.220370E+1
3.162000E+11 1.000E+17 305 3.300E-4 3.116400E+1 1.503590E+1 5.871580E-1 8.217160E+1
4.642000E+11 1.000E+17 305 3.300E-4 3.040383E+1 1.461010E+1 5.851010E-1 8.212860E+1
6.813000E+11 1.000E+17 305 3.300E-4 2.960046E+1 1.415270E+1 5.828140E-1 8.203710E+1
1.000000E+12 1.000E+17 305 3.300E-4 2.875404E+1 1.367740E+1 5.802770E-1 8.197250E+1
1.468000E+12 1.000E+17 305 3.300E-4 2.786537E+1 1.317880E+1 5.773380E-1 8.191810E+1
2.154000E+12 1.000E+17 305 3.300E-4 2.693607E+1 1.265750E+1 5.741440E-1 8.184540E+1
3.162000E+12 1.000E+17 305 3.300E-4 2.596867E+1 1.211050E+1 5.706980E-1 8.171610E+1
4.642000E+12 1.000E+17 305 3.300E-4 2.496675E+1 1.155270E+1 5.668230E-1 8.163480E+1
6.813000E+12 1.000E+17 305 3.300E-4 2.393487E+1 1.097550E+1 5.627020E-1 8.149220E+1
1.000000E+13 1.000E+17 305 3.300E-4 2.287856E+1 1.039370E+1 5.582610E-1 8.137750E+1
1.468000E+13 1.000E+17 305 3.300E-4 2.180424E+1 9.806600E+0 5.534980E-1 8.125720E+1
2.154000E+13 1.000E+17 305 3.300E-4 2.071912E+1 9.213700E+0 5.484870E-1 8.107720E+1
3.162000E+13 1.000E+17 305 3.300E-4 1.963099E+1 8.629900E+0 5.431700E-1 8.093340E+1
4.642000E+13 1.000E+17 305 3.300E-4 1.854807E+1 8.050300E+0 5.376200E-1 8.073010E+1
6.813000E+13 1.000E+17 305 3.300E-4 1.747875E+1 7.484900E+0 5.318620E-1 8.051490E+1
1.000000E+14 1.000E+17 305 3.300E-4 1.643134E+1 6.940600E+0 5.258390E-1 8.032870E+1
