X Y Yfit
-1.1746000E-4 -2.2504000E-3 -2.2562381E-3
2.0251000E-2 -2.2454000E-3 -2.2480466E-3
4.0619000E-2 -2.2403000E-3 -2.2383499E-3
6.0422000E-2 -2.2314000E-3 -2.2272113E-3
8.0790000E-2 -2.2213000E-3 -2.2136565E-3
1.0116000E-1 -2.2061000E-3 -2.1975793E-3
1.2096000E-1 -2.1884000E-3 -2.1790773E-3
1.4020000E-1 -2.1644000E-3 -2.1578877E-3
1.6057000E-1 -2.1378000E-3 -2.1313660E-3
1.8093000E-1 -2.1037000E-3 -2.0998780E-3
2.0017000E-1 -2.0645000E-3 -2.0646987E-3
2.2054000E-1 -2.0151000E-3 -2.0206505E-3
2.4091000E-1 -1.9633000E-3 -1.9683025E-3
2.6071000E-1 -1.9063000E-3 -1.9079788E-3
2.8051000E-1 -1.8266000E-3 -1.8366055E-3
3.0031000E-1 -1.7457000E-3 -1.7521200E-3
3.2068000E-1 -1.6546000E-3 -1.6488703E-3
3.3992000E-1 -1.5433000E-3 -1.5331011E-3
3.6085000E-1 -1.4117000E-3 -1.3826134E-3
3.8066000E-1 -1.2561000E-3 -1.2108506E-3
4.0046000E-1 -1.0740000E-3 -1.0023573E-3
4.2026000E-1 -8.2730000E-4 -7.4402299E-4
4.4063000E-1 -5.2117000E-4 -4.0269292E-4
4.5704000E-1 -1.0752000E-4 -4.3412707E-5
4.8193000E-1 5.3635000E-4 7.4350249E-4
5.0287000E-1 1.4611000E-3 1.7983116E-3
5.2323000E-1 2.9259000E-3 3.4186506E-3
5.4021000E-1 4.9803000E-3 5.4376609E-3
5.6001000E-1 8.3894000E-3 8.7886433E-3
5.8208000E-1 1.2502000E-2 1.3933563E-2
5.9735000E-1 1.8478000E-2 1.8337556E-2
6.2281000E-1 2.5252000E-2 2.6999818E-2
6.4205000E-1 3.2734000E-2 3.4434154E-2
