fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
DARK1 35318 293.36 39.522 1.000000000E+00 1.003276759E+00 7.942036077E-13 1.000000000E+20 3.856668878E+00 1.707026190E-05 1.975080112E-01 
DARK10 36408 321.23 36.093 1.000000000E+00 1.321989621E+00 1.086615119E-10 1.000000000E+20 3.729011779E+00 3.338403979E-05 9.211451418E-02 
DARK100 47486 320 36.232 1.000000000E+00 1.603152185E+00 9.937828967E-11 1.000000000E+20 3.852137699E+00 3.582945867E-05 8.489125624E-02 
DARK101 47608 320.02 36.23 1.000000000E+00 1.618235029E+00 1.040975898E-10 1.000000000E+20 3.907728841E+00 3.699312145E-05 7.439776910E-02 
DARK102 47724 320 36.232 1.000000000E+00 1.592703561E+00 9.613823459E-11 1.000000000E+20 3.793328150E+00 3.395041543E-05 8.430982144E-02 
DARK103 47844 320.02 36.23 1.000000000E+00 1.558278497E+00 9.221630869E-11 1.000000000E+20 3.667474601E+00 3.067827141E-05 1.211991577E-01 
DARK104 47964 320.02 36.23 1.000000000E+00 1.572190930E+00 9.792271902E-11 1.000000000E+20 3.865069034E+00 3.604633353E-05 8.541365498E-02 
DARK105 48086 320.02 36.23 1.000000000E+00 1.637431417E+00 1.023837067E-10 1.000000000E+20 3.915688594E+00 3.731720133E-05 7.063246591E-02 
DARK106 48204 320 36.232 1.000000000E+00 1.559154092E+00 9.635276779E-11 1.000000000E+20 3.833813371E+00 3.505079636E-05 8.852095461E-02 
DARK107 48324 320.02 36.23 1.000000000E+00 1.596361640E+00 1.020599635E-10 1.000000000E+20 3.954385503E+00 3.878062467E-05 5.845157850E-02 
DARK108 48446 320.02 36.23 1.000000000E+00 1.558216588E+00 1.000725703E-10 1.000000000E+20 3.835082345E+00 3.553786144E-05 8.353312236E-02 
DARK109 48566 320.02 36.23 1.000000000E+00 1.594299046E+00 1.009374457E-10 1.000000000E+20 3.832178040E+00 3.529168363E-05 8.831433203E-02 
DARK11 36532 320.97 36.122 1.000000000E+00 1.342581756E+00 9.976616822E-11 1.000000000E+20 3.620667711E+00 3.013558539E-05 1.286284579E-01 
DARK110 48688 320.02 36.23 1.000000000E+00 1.569764713E+00 9.568197460E-11 1.000000000E+20 3.835848108E+00 3.532245380E-05 8.620467398E-02 
DARK111 48804 320.02 36.23 1.000000000E+00 1.571207639E+00 9.936756121E-11 1.000000000E+20 3.900551025E+00 3.703867247E-05 7.849754010E-02 
DARK112 48926 320.02 36.23 1.000000000E+00 1.556299276E+00 9.410527734E-11 1.000000000E+20 3.707474009E+00 3.154994441E-05 1.317015629E-01 
DARK113 49044 320.02 36.23 1.000000000E+00 1.586044285E+00 1.018634385E-10 1.000000000E+20 3.878058310E+00 3.643466195E-05 7.202108516E-02 
DARK114 49164 320.02 36.23 1.000000000E+00 1.559368672E+00 9.644356263E-11 1.000000000E+20 3.902326173E+00 3.710185984E-05 7.203726119E-02 
DARK115 49284 320.02 36.23 1.000000000E+00 1.465697415E+00 8.479666640E-11 1.000000000E+20 3.649068251E+00 3.011238252E-05 1.347777083E-01 
DARK116 49404 320.02 36.23 1.000000000E+00 1.609668027E+00 1.032755183E-10 1.000000000E+20 3.959332161E+00 3.907035645E-05 6.375665265E-02 
DARK12 36646 320.69 36.154 1.000000000E+00 1.316257715E+00 9.818083672E-11 1.000000000E+20 3.751935431E+00 3.362393184E-05 9.241091807E-02 
DARK13 36766 320.55 36.17 1.000000000E+00 1.389771633E+00 9.771804361E-11 1.000000000E+20 3.718665170E+00 3.265160017E-05 9.749731962E-02 
